id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
429,tt0060196,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",1966-12-23,27.7051,8.467,9948,[37],it,1200000,38900000,161,"United Artists, PEA, Arturo González PC, Constantin Film",Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli"
41264,tt0060073,Africa Blood and Guts,Africa Addio,1966-02-11,10.3084,6.218,55,"[99, 36, 10752, 27]",it,0,2000000,138,Cineriz,"Gualtiero Jacopetti, Franco Prosperi","Sergio Rossi, Jomo Kenyatta, Gualtiero Jacopetti, Julius Nyerere, Moïse Kapenda Tshombe"
17295,tt0058946,The Battle of Algiers,La battaglia di Algeri,1966-09-08,7.3296,7.9,927,"[18, 10752, 36]",it,800000,964028,122,"Igor Film, Casbah Film",Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin, Yacef Saâdi, Samia Kerbash, Ugo Paletti"
13353,tt0060550,"It's the Great Pumpkin, Charlie Brown","It's the Great Pumpkin, Charlie Brown",1966-10-27,6.783,7.5,468,"[10751, 16, 10770, 35]",en,0,0,25,"United Feature Syndicate, Bill Melendez Productions, Lee Mendelson Film Productions",Bill Melendez,"Peter Robbins, Christopher Shea, Sally Dryer, Bill Melendez, Cathy Steinberg"
797,tt0060827,Persona,Persona,1966-10-18,6.3485,8.122,2481,[18],sv,0,250000,85,SF Studios,Ingmar Bergman,"Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand, Jörgen Lindström"
2661,tt0060153,Batman,Batman,1966-07-30,6.1623,6.374,1091,"[28, 35, 80]",en,1377800,3900000,105,"William Dozier Productions, 20th Century Fox, Greenlawn Productions",Leslie H. Martinson,"Adam West, Burt Ward, Lee Meriwether, Cesar Romero, Burgess Meredith"
22383,tt0060862,The Professionals,The Professionals,1966-11-01,5.6377,7.085,359,"[37, 12, 28]",en,0,0,117,Columbia Pictures,Richard Brooks,"Burt Lancaster, Lee Marvin, Robert Ryan, Woody Strode, Jack Palance"
8290,tt0060474,Don't Look Now... We're Being Shot At!,La Grande Vadrouille,1966-12-08,5.5628,7.9,1493,"[35, 10752]",fr,0,0,132,"Les Films Corona, The Rank Organisation, Lowndes Productions Limited",Gérard Oury,"Bourvil, Louis de Funès, Terry-Thomas, Claudio Brook, Mike Marshall"
396,tt0061184,Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?,1966-06-22,5.3715,7.695,941,[18],en,7500000,33736689,131,"Chenault Productions, Warner Bros. Pictures",Mike Nichols,"Elizabeth Taylor, Richard Burton, George Segal, Sandy Dennis, Agnes Flanagan"
1052,tt0060176,Blow-Up,Blow-Up,1966-12-18,5.3348,7.308,1415,"[18, 9648, 53]",en,1800000,20000000,111,"Bridge Films, Carlo Ponti Production, Metro-Goldwyn-Mayer",Michelangelo Antonioni,"David Hemmings, Vanessa Redgrave, Sarah Miles, John Castle, Veruschka von Lehndorff"
