id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
578,tt0073195,Jaws,Jaws,1975-06-20,27.9535,7.685,11858,"[27, 53, 12]",en,7000000,470653000,124,"The Zanuck/Brown Company, Universal Pictures",Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton"
510,tt0073486,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,1975-11-19,22.7358,8.405,11757,[18],en,3000000,108981275,135,Fantasy Films,Miloš Forman,"Jack Nicholson, Brad Dourif, Louise Fletcher, Danny DeVito, William Redfield"
762,tt0071853,Monty Python and the Holy Grail,Monty Python and the Holy Grail,1975-04-03,13.4838,7.803,6613,"[12, 35, 14]",en,400000,5763644,91,"Python (Monty) Pictures, Michael White Productions, National Film Trustee Company, EMI Films","Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones"
36685,tt0073629,The Rocky Horror Picture Show,The Rocky Horror Picture Show,1975-08-14,12.0003,7.444,3235,"[35, 878, 27]",en,1400000,171181400,100,"20th Century Fox, Lou Adler Productions, Michael White Productions, Houtsnede Maatschappij",Jim Sharman,"Tim Curry, Susan Sarandon, Barry Bostwick, Richard O'Brien, Patricia Quinn"
288987,tt0073597,That Malicious Age,Quella età maliziosa,1975-03-11,11.6832,6.444,89,"[18, 10749]",it,0,0,90,Domizia Cinematografia,Silvio Amadio,"Gloria Guida, Nino Castelnuovo, Anita Sanders, Mimmo Palmara, Andrea Aureli"
968,tt0072890,Dog Day Afternoon,Dog Day Afternoon,1975-09-21,11.0822,7.855,3505,"[80, 18, 53]",en,1800000,56665856,124,Artists Entertainment Complex,Sidney Lumet,"Al Pacino, John Cazale, Charles Durning, Chris Sarandon, James Broderick"
4561,tt0073115,The Story of O,Histoire d'O,1975-08-27,9.472,5.5,189,[18],fr,0,0,97,"Terra-Filmkunst, S.N. Prodis",Just Jaeckin,"Corinne Cléry, Udo Kier, Alain Noury, Anthony Steel, Jean Gaven"
3175,tt0072684,Barry Lyndon,Barry Lyndon,1975-12-16,9.1798,7.999,3284,"[18, 36]",en,11000000,31500000,188,"Warner Bros. Pictures, Hawk Films, Peregrine",Stanley Kubrick,"Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger, Steven Berkoff"
11963,tt0073802,Three Days of the Condor,Three Days of the Condor,1975-09-24,6.9487,7.3,1420,"[53, 9648]",en,7800000,41509797,117,"Stanley Schneider Productions, DDL Cinematografica",Sydney Pollack,"Robert Redford, Faye Dunaway, Cliff Robertson, Max von Sydow, John Houseman"
11843,tt0072081,The Return of the Pink Panther,The Return of the Pink Panther,1975-05-21,6.4938,6.8,707,"[35, 80, 9648]",en,5000000,41833347,113,"Jewel Productions, Pimlico Films, ITC Entertainment",Blake Edwards,"Peter Sellers, Christopher Plummer, Catherine Schell, Herbert Lom, Peter Arne"
