id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
12230,tt0055254,One Hundred and One Dalmatians,One Hundred and One Dalmatians,1961-01-25,17.6909,7.2,6775,"[12, 16, 35, 10751]",en,3600000,303000000,79,Walt Disney Productions,"Wolfgang Reitherman, Clyde Geronimi, Hamilton Luske","Rod Taylor, J. Pat O'Malley, Betty Lou Gerson, Martha Wentworth, Ben Wright"
19186,tt0055277,The Parent Trap,The Parent Trap,1961-05-13,9.7957,7.045,442,"[35, 10751, 10749]",en,0,29650385,129,Walt Disney Productions,David Swift,"Hayley Mills, Maureen O'Hara, Brian Keith, Charles Ruggles, Cathleen Nesbitt"
164,tt0054698,Breakfast at Tiffany's,Breakfast at Tiffany's,1961-10-06,9.7382,7.6,4566,"[35, 10749, 18]",en,2500000,9500000,115,"Paramount Pictures, Jurow-Shepherd",Blake Edwards,"Audrey Hepburn, George Peppard, Patricia Neal, Buddy Ebsen, Martin Balsam"
10911,tt0054953,The Guns of Navarone,The Guns of Navarone,1961-04-27,7.5088,7.295,911,"[12, 18, 10752]",en,6000000,28900000,160,"Highroad Productions, Columbia Pictures",J. Lee Thompson,"Gregory Peck, David Niven, Anthony Quinn, Stanley Baker, Anthony Quayle"
1725,tt0055614,West Side Story,West Side Story,1961-12-13,7.1192,7.219,2097,"[80, 18, 10749]",en,6000000,43700000,153,"Seven Arts Productions, The Mirisch Company, Robert Wise Productions","Jerome Robbins, Robert Wise","Natalie Wood, Richard Beymer, Russ Tamblyn, Rita Moreno, George Chakiris"
11878,tt0055630,Yojimbo,用心棒,1961-04-25,5.8364,8.079,1746,"[18, 53]",ja,0,0,110,TOHO,Akira Kurosawa,"Toshirō Mifune, Tatsuya Nakadai, Yōko Tsukasa, Isuzu Yamada, Daisuke Katō"
286448,tt0055290,On the Roofs of Budapest,Pesti háztetők,1961-08-10,5.3528,10.0,1,[18],hu,0,0,89,Hunnia Filmstúdió,András Kovács,"Lajos Cs. Németh, Ildikó Pécsi, Ilona Agárdy, Tibor Molnár, József Madaras"
20139,tt0054743,The Children's Hour,The Children's Hour,1961-12-19,5.0865,7.67,424,[18],en,3600000,3000000,108,"The Mirisch Company, United Artists",William Wyler,"Audrey Hepburn, Shirley MacLaine, James Garner, Miriam Hopkins, Fay Bainter"
821,tt0055031,Judgment at Nuremberg,Judgment at Nuremberg,1961-12-18,4.9198,7.993,988,"[18, 36]",en,3000000,10000000,191,"Roxlom Films, Stanley Kramer Productions",Stanley Kramer,"Spencer Tracy, Richard Widmark, Maximilian Schell, Burt Lancaster, Marlene Dietrich"
990,tt0054997,The Hustler,The Hustler,1961-09-25,4.8379,7.669,1124,"[18, 10749]",en,2000000,7600000,134,"Rossen Films, 20th Century Fox",Robert Rossen,"Paul Newman, Jackie Gleason, Piper Laurie, George C. Scott, Myron McCormick"
18647,tt0055257,One-Eyed Jacks,One-Eyed Jacks,1961-03-30,4.3969,6.8,262,"[37, 18]",en,6000000,4300000,141,Pennebaker Productions,Marlon Brando,"Marlon Brando, Karl Malden, Katy Jurado, Ben Johnson, Slim Pickens"
18993,tt0055207,Mysterious Island,Mysterious Island,1961-12-19,4.2222,6.6,213,"[12, 878]",en,2000000,0,101,"Ameran Films, Columbia Pictures",Cy Endfield,"Michael Craig, Joan Greenwood, Michael Callan, Gary Merrill, Herbert Lom"
262077,tt0240899,Sirènes,Sirènes,1961-06-01,4.1617,8.333,3,[],fr,0,0,7,,Emile Degelin,
36362,tt0055047,King of Kings,King of Kings,1961-10-11,4.0375,7.141,245,"[18, 36]",en,7775000,13400000,171,"Samuel Bronston Productions, Metro-Goldwyn-Mayer",Nicholas Ray,"Jeffrey Hunter, Siobhán McKenna, Hurd Hatfield, Ron Randell, Viveca Lindfors"
