id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
539,tt0054215,Psycho,Psycho,1960-06-22,23.2582,8.407,11253,"[27, 53, 9648]",en,806947,50000000,109,Shamley Productions,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin, Martin Balsam"
966,tt0054047,The Magnificent Seven,The Magnificent Seven,1960-10-12,13.2915,7.498,2051,"[37, 28, 12]",en,2000000,19500000,128,"Alpha Productions, The Mirisch Company",John Sturges,"Yul Brynner, Eli Wallach, Steve McQueen, Charles Bronson, Robert Vaughn"
967,tt0054331,Spartacus,Spartacus,1960-10-13,11.169,7.536,2453,"[36, 18, 12]",en,12000000,60000000,197,"Bryna Productions, Universal Pictures",Stanley Kubrick,"Kirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton, Peter Ustinov"
284,tt0053604,The Apartment,The Apartment,1960-06-21,8.7798,8.182,2775,"[35, 18, 10749]",en,3000000,25000000,126,The Mirisch Company,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, Jack Kruschen"
439,tt0053779,La Dolce Vita,La dolce vita,1960-02-05,8.62,8.024,2076,"[35, 18]",it,0,19647000,174,"Cinecittà Studios, Pathé Consortium Cinéma, Riama Film",Federico Fellini,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée, Yvonne Furneaux, Magali Noël"
10363,tt0054189,Purple Noon,Plein soleil,1960-03-10,6.9022,7.562,622,"[80, 18, 53]",fr,0,0,118,"Paris Film Production, Titanus, Robert et Raymond Hakim",René Clément,"Alain Delon, Marie Laforêt, Maurice Ronet, Erno Crisa, Frank Latimore"
269,tt0053472,Breathless,À bout de souffle,1960-03-16,6.5272,7.481,2086,"[18, 80, 10749]",fr,80000,0,90,"Les Films Impéria, Les Productions Georges de Beauregard, SNC",Jean-Luc Godard,"Jean-Paul Belmondo, Jean Seberg, Daniel Boulanger, Henri-Jacques Huet, Roger Hanin"
56260,tt0054396,"Toto, Fabrizi and the Young People Today","Totò, Fabrizi e i giovani d'oggi",1960-08-18,6.4852,7.153,75,"[10749, 35]",it,0,0,92,"D.D.L., Cine Produzione Astoria",Mario Mattoli,"Totò, Aldo Fabrizi, Christine Kaufmann, Geronimo Meynier, Luigi Pavese"
11209,tt0053580,The Alamo,The Alamo,1960-10-23,5.8008,7.091,411,"[10752, 12, 36, 37]",en,12000000,7900000,202,"Batjac Productions, The Alamo Company",John Wayne,"John Wayne, Richard Widmark, Laurence Harvey, Frankie Avalon, Patrick Wayne"
187503,tt0190505,Koroghlu,Koroğlu,1960-10-10,5.7362,5.5,2,"[36, 10752, 10749, 10402]",az,0,0,93,Azerbaijanfilm,Huseyn Seyidzadeh,"Afrasiyab Mammadov, Leyla Badirbayli, Aghadadash Gurbanov, Ismail Daghistanli, Marziyya Davudova"
11167,tt0054167,Peeping Tom,Peeping Tom,1960-04-07,5.3782,7.453,929,"[27, 53, 80]",en,150000,83957,101,Michael Powell (Theatre),Michael Powell,"Karlheinz Böhm, Moira Shearer, Anna Massey, Maxine Audley, Brenda Bruce"
