id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
103,tt0075314,Taxi Driver,Taxi Driver,1976-02-09,24.0072,8.1,13790,"[80, 18]",en,1900000,28579636,114,"Bill/Phillips Productions, Columbia Pictures",Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd, Harvey Keitel, Peter Boyle"
1366,tt0075148,Rocky,Rocky,1976-12-03,16.6316,7.799,8891,[18],en,1000000,117253345,120,Winkler Films,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith"
5879,tt0074102,In the Realm of the Senses,愛のコリーダ,1976-09-15,15.0433,6.613,759,"[18, 10749]",ja,0,7650000,102,"Argos films, Oshima Productions, Shibata Organisation",Nagisa Ōshima,"Eiko Matsuda, Tatsuya Fuji, Aoi Nakajima, Yasuko Matsui, Meika Seri"
7340,tt0074285,Carrie,Carrie,1976-11-03,12.0307,7.341,4437,"[27, 53]",en,1800000,33800000,98,United Artists,Brian De Palma,"Sissy Spacek, Piper Laurie, Amy Irving, William Katt, John Travolta"
353208,tt0074274,Black Maid,La cameriera nera,1976-03-06,12.0021,4.556,9,"[10749, 35]",it,0,0,99,Cinematografica '74,Mario Bianchi,"Carla Brait, Femi Benussi, Gianni Dei, Magda Konopka, Carla Calò"
36225,tt0367151,Oxen Split Torturing,徳川女刑罰絵巻　牛裂きの刑,1976-09-04,8.4198,5.8,32,"[27, 18]",ja,0,0,80,Toei Company,Yuji Makiguchi,"Yūsuke Kazato, Rena Uchimura, Akira Shioji, Masataka Iwao, Ryuichi Nagashima"
794,tt0075005,The Omen,The Omen,1976-06-25,8.3437,7.404,2503,"[27, 53]",en,2800000,60922980,111,"Mace Neufeld Productions, Harvey Bernhard Productions, Twentieth Century-Fox Productions",Richard Donner,"Gregory Peck, Lee Remick, David Warner, Billie Whitelaw, Harvey Stephens"
322056,tt0396051,Black Ghost,흑귀,1976-05-08,8.3295,9.0,1,[27],ko,0,0,90,,Lee Yong-min,"Jang Geon, Ha Ok-hwa, Yoon Yang-ha"
11422,tt0074899,Midway,Midway,1976-06-18,8.2133,6.615,340,"[28, 18, 36, 10752]",en,4000000,100000000,132,"The Mirisch Company, Universal Pictures",Jack Smight,"Charlton Heston, Henry Fonda, James Coburn, Glenn Ford, Hal Holbrook"
10774,tt0074958,Network,Network,1976-11-27,8.0291,7.788,2112,[18],en,3800000,23700000,122,Metro-Goldwyn-Mayer,Sidney Lumet,"Faye Dunaway, William Holden, Peter Finch, Robert Duvall, Wesley Addy"
10747,tt0075029,The Outlaw Josey Wales,The Outlaw Josey Wales,1976-06-30,7.9483,7.455,1342,[37],en,3700000,31800000,135,"Warner Bros. Pictures, Malpaso Productions",Clint Eastwood,"Clint Eastwood, Chief Dan George, Sondra Locke, Bill McKinney, John Vernon"
992003,tt0288026,Student Mistress: Taste of a Virgin,学生情婦　処女の味,1976-11-27,7.8217,10.0,1,[],ja,0,0,68,Nikkatsu Corporation,Kōyū Ohara,"Natsuko Yashiro, Seiji Endō, Kunio Shimizu, Junko Miyashita, Reika Maki"
1631,tt0135024,A Real Young Girl,Une vraie jeune fille,1976-06-01,7.0367,5.235,155,"[10749, 18]",fr,0,17245,94,"Les Films La Boétie, Artédis, CB Films, CNC",Catherine Breillat,"Charlotte Alexandra, Hiram Keller, Rita Maiden, Bruno Balp, Georges Guéret"
10649,tt0074483,The Enforcer,The Enforcer,1976-12-16,6.5536,6.729,1024,"[80, 28, 53, 18]",en,9000000,46236000,96,"Warner Bros. Pictures, Malpaso Productions",James Fargo,"Clint Eastwood, Tyne Daly, Harry Guardino, Bradford Dillman, John Mitchum"
12268,tt0075066,The Pink Panther Strikes Again,The Pink Panther Strikes Again,1976-09-16,6.4139,6.873,643,"[35, 80]",en,6000000,33833201,103,"Amjo Productions, United Artists",Blake Edwards,"Peter Sellers, Herbert Lom, Leonard Rossiter, Colin Blakely, Graham Stark"
9385,tt0072901,The Twelve Tasks of Asterix,Les 12 travaux d'Astérix,1976-06-26,6.3204,7.345,1383,"[10751, 16, 35, 12]",fr,0,0,82,"Studios Idéfix, Dargaud Films, Les Productions René Goscinny, Halas and Batchelor Cartoon Films","René Goscinny, Albert Uderzo","Roger Carel, Jacques Morel, Jean Martinelli, Henri Virlogeux, Micheline Dax"
10730,tt0074751,King Kong,King Kong,1976-12-15,6.2537,6.3,950,"[12, 27]",en,23000000,90614445,134,The De Laurentiis Company,John Guillermin,"Jeff Bridges, Jessica Lange, Charles Grodin, John Randolph, René Auberjonois"
5336,tt0073650,"Salò, or the 120 Days of Sodom",Salò o le 120 giornate di Sodoma,1976-01-10,6.2419,6.333,2367,"[27, 18]",it,800000,1800000,117,"Les Productions Artistes Associés, PEA",Pier Paolo Pasolini,"Paolo Bonacelli, Giorgio Cataldi, Uberto Paolo Quintavalle, Aldo Valletti, Caterina Boratto"
114766,tt0074249,Burnt By A Scalding Passion,Bruciati da cocente passione,1976-08-12,5.908,3.417,6,[35],it,0,0,97,Rizzoli Film,Giorgio Capitani,"Cochi Ponzoni, Jane Birkin, Aldo Maccione, Catherine Spaak, Mario Maranzana"
991,tt0074851,The Man Who Fell to Earth,The Man Who Fell to Earth,1976-03-18,5.9029,6.459,620,"[878, 18, 14]",en,1500000,0,139,"British Lion Films, Houtsnede Maatschappij",Nicolas Roeg,"David Bowie, Rip Torn, Candy Clark, Tony Mascia, Buck Henry"
107503,tt1548633,The Magic Ring,Shen huan,1976-09-17,4.7368,0.0,0,[28],zh,0,0,0,Taiwan Li Cheng Film Company,Karen Yang Chia-Yun,"Chia Ling, Chang Yi, Chang Feng, Han Su, Huang Hsi-tien"
343475,tt0075080,Spider Football,Pókfoci,1976-06-05,4.6078,6.5,4,"[18, 35]",hu,0,0,81,Mafilm,János Rózsa,"József Madaras, Rajhona Ádám, Judit Halász, Róbert Koltai, Ildikó Pécsi"
432353,tt0470068,The Manila Rope,Manillaköysi,1976-09-28,4.8838,5.143,7,"[10752, 18]",fi,0,0,75,YLE,Veli-Matti Saikkonen,"Erkki Pajala, Vesa Mäkelä, Martti Kuningas, Esko Hukkanen, Hannu Kahakorpi"
114766,tt0074249,Burnt By A Scalding Passion,Bruciati da cocente passione,1976-08-12,5.908,3.417,6,[35],it,0,0,97,Rizzoli Film,Giorgio Capitani,"Cochi Ponzoni, Jane Birkin, Aldo Maccione, Catherine Spaak, Mario Maranzana"
10518,tt0074860,Marathon Man,Marathon Man,1976-10-08,5.4187,7.2,1271,"[53, 80, 18]",en,6500000,21709020,126,Paramount Pictures,John Schlesinger,"Dustin Hoffman, Laurence Olivier, Roy Scheider, William Devane, Marthe Keller"
133980,tt0074201,Dog Lay Afternoon,Bestialità,1976-11-15,5.2959,4.5,25,"[18, 27, 53]",it,0,0,75,"I.P.R.A., Valenti",Peter Skerl,"Philippe March, Juliette Mayniel, Enrico Maria Salerno, Paul Müller, Ilona Staller"
761,tt0074103,The Wing or the Thigh?,L'Aile ou la Cuisse,1976-10-27,5.1179,7.204,990,[35],fr,5133623,0,104,Les Films Christian Fechner,Claude Zidi,"Louis de Funès, Coluche, Ann Zacharias, Julien Guiomar, Raymond Bussières"
