id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
634649,tt10872600,Spider-Man: No Way Home,Spider-Man: No Way Home,2021-12-15,65.908,7.947,23129,"[28, 12, 878]",en,200000000,1921426073,148,"Marvel Studios, Pascal Pictures, Columbia Pictures",Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon, Jon Favreau"
438631,tt1160419,Dune,Dune,2021-09-15,44.2992,7.785,15537,"[878, 12]",en,165000000,410668500,155,Legendary Pictures,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Oscar Isaac, Jason Momoa, Stellan Skarsgård"
637649,tt11083552,Wrath of Man,Wrath of Man,2021-04-22,32.4454,7.57,6302,"[53, 80, 18]",en,40000000,103966489,119,"Miramax, Toff Guy Films",Guy Ritchie,"Jason Statham, Holt McCallany, Rocci Williams, Josh Hartnett, Jeffrey Donovan"
460458,tt6920084,Resident Evil: Welcome to Raccoon City,Resident Evil: Welcome to Raccoon City,2021-11-24,39.4222,5.926,2785,"[28, 27, 878]",en,25000000,41914915,107,"Constantin Film, Screen Gems, Davis Raccoon Films",Johannes Roberts,"Kaya Scodelario, Hannah John-Kamen, Robbie Amell, Tom Hopper, Avan Jogia"
436969,tt6334354,The Suicide Squad,The Suicide Squad,2021-07-28,30.6424,7.446,9898,"[28, 35, 12]",en,185000000,168717425,132,"DC Films, Atlas Entertainment, The Safran Company, Warner Bros. Pictures",James Gunn,"Margot Robbie, Idris Elba, John Cena, Joel Kinnaman, Sylvester Stallone"
370172,tt2382320,No Time to Die,No Time to Die,2021-09-29,27.4087,7.339,7374,"[28, 53, 12]",en,250000000,774153024,163,"EON Productions, Metro-Goldwyn-Mayer",Cary Joji Fukunaga,"Daniel Craig, Léa Seydoux, Rami Malek, Lashana Lynch, Ralph Fiennes"
566525,tt9376612,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings,2021-09-01,28.5446,7.485,10735,"[28, 12, 14]",en,150000000,432243292,132,Marvel Studios,Destin Daniel Cretton,"Simu Liu, Tony Leung Chiu-wai, Awkwafina, Ben Kingsley, Zhang Meng'er"
497698,tt3480822,Black Widow,Black Widow,2021-07-07,28.8446,7.149,11616,"[28, 12, 878]",en,200000000,379751131,134,Marvel Studios,Cate Shortland,"Scarlett Johansson, Florence Pugh, Rachel Weisz, David Harbour, Ray Winstone"
438695,tt6467266,Sing 2,Sing 2,2021-12-01,24.3447,7.832,4903,"[16, 35, 10751, 10402]",en,85000000,408402685,110,Illumination,Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Scarlett Johansson, Taron Egerton, Bobby Cannavale"
550988,tt6264654,Free Guy,Free Guy,2021-08-11,25.0587,7.437,10166,"[35, 12, 878]",en,110000000,331526598,115,"Berlanti Productions, 21 Laps Entertainment, Maximum Effort, Lit Entertainment Group, 20th Century Studios, TSG Entertainment",Shawn Levy,"Ryan Reynolds, Jodie Comer, Lil Rel Howery, Joe Keery, Utkarsh Ambudkar"
423108,tt7069210,The Conjuring: The Devil Made Me Do It,The Conjuring: The Devil Made Me Do It,2021-05-25,24.1215,7.337,6707,"[27, 9648, 53]",en,39000000,206444123,111,"New Line Cinema, The Safran Company, Atomic Monster",Michael Chaves,"Vera Farmiga, Patrick Wilson, Sterling Jerins, Sarah Catherine Hook, Ruairí O'Connor"
