id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
673,tt0304141,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,2004-05-31,43.7094,8.012,23643,"[12, 14]",en,130000000,789804554,141,"Warner Bros. Pictures, 1492 Pictures, Heyday Films, P of A Productions",Alfonso Cuarón,"Daniel Radcliffe, Rupert Grint, Emma Watson, Robbie Coltrane, Michael Gambon"
652,tt0332452,Troy,Troy,2004-05-13,32.1114,7.19,11511,"[28, 12]",en,175000000,497409852,163,"Warner Bros. Pictures, Plan B Entertainment, Radiant Productions, Helena Productions",Wolfgang Petersen,"Brad Pitt, Orlando Bloom, Eric Bana, Brian Cox, Sean Bean"
9806,tt0317705,The Incredibles,The Incredibles,2004-10-27,33.2606,7.729,19302,"[28, 12, 16, 10751]",en,92000000,631442092,115,Pixar,Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Spencer Fox, Jason Lee"
4935,tt0347149,Howl's Moving Castle,ハウルの動く城,2004-09-09,31.4324,8.387,11441,"[14, 16, 12]",ja,24000000,236049757,119,"Studio Ghibli, Tokuma Shoten, Nippon Television Network Corporation, dentsu, Walt Disney Japan, d-rights, TOHO",Hayao Miyazaki,"Chieko Baisho, Takuya Kimura, Akihiro Miwa, Tatsuya Gashuin, Ryunosuke Kamiki"
12153,tt0381707,White Chicks,White Chicks,2004-06-23,27.4338,6.963,4744,"[35, 80]",en,37000000,113100000,109,"Revolution Studios, Wayans Bros. Entertainment, Gone North Productions",Keenen Ivory Wayans,"Shawn Wayans, Marlon Wayans, Frankie Faison, Terry Crews, Faune Chambers Watkins"
11036,tt0332280,The Notebook,The Notebook,2004-06-25,27.5741,7.9,12864,"[10749, 18]",en,29000000,115600000,123,"New Line Cinema, Avery Pix, Gran Via Productions",Nick Cassavetes,"Ryan Gosling, Rachel McAdams, Gena Rowlands, James Garner, Joan Allen"
10625,tt0377092,Mean Girls,Mean Girls,2004-04-30,24.8864,7.229,9665,"[18, 35]",en,17000000,130195052,97,"Broadway Video, Paramount Pictures, M.G. Films",Mark Waters,"Lindsay Lohan, Rachel McAdams, Lizzy Caplan, Lacey Chabert, Amanda Seyfried"
176,tt0387564,Saw,Saw,2004-10-01,21.832,7.4,10324,"[27, 9648, 80]",en,1200000,104045735,103,Twisted Pictures,James Wan,"Leigh Whannell, Cary Elwes, Tobin Bell, Danny Glover, Ken Leung"
38,tt0338013,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,2004-03-19,21.8462,8.089,16730,"[878, 18, 10749]",en,20000000,72258126,108,"Focus Features, Anonymous Content, This is that",Michel Gondry,"Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Elijah Wood"
809,tt0298148,Shrek 2,Shrek 2,2004-05-19,22.6033,7.329,13765,"[16, 35, 10751, 14, 10749]",en,150000000,932542741,92,"DreamWorks Animation, Pacific Data Images","Conrad Vernon, Kelly Asbury, Andrew Adamson","Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews, Antonio Banderas"
615,tt0335345,The Passion of the Christ,The Passion of the Christ,2004-02-25,20.734,7.539,5339,[18],en,30000000,610063468,127,Icon Productions,Mel Gibson,"Jim Caviezel, Maia Morgenstern, Christo Jivkov, Francesco De Vito, Monica Bellucci"
2048,tt0343818,"I, Robot","I, Robot",2004-07-15,21.9993,6.97,12990,"[28, 878]",en,120000000,347234916,115,"Davis Entertainment, Laurence Mark Productions, Canlaws Productions, 20th Century Fox, Overbrook Entertainment, Mediastream Vierte Film",Alex Proyas,"Will Smith, Bridget Moynahan, Alan Tudyk, James Cromwell, Bruce Greenwood"
11836,tt0345950,The SpongeBob SquarePants Movie,The SpongeBob SquarePants Movie,2004-11-19,20.6904,7.109,3304,"[12, 16, 35, 10751, 14]",en,30000000,141067890,87,"Paramount Pictures, Nickelodeon Movies, United Plankton Pictures, Peanut Worm Productions",Stephen Hillenburg,"Tom Kenny, Clancy Brown, Rodger Bumpass, Bill Fagerbakke, Mr. Lawrence"
393,tt0378194,Kill Bill: Vol. 2,Kill Bill: Vol. 2,2004-04-16,21.4297,7.9,15438,"[28, 80, 53]",en,30000000,152159461,136,"Super Cool ManChu, Miramax, A Band Apart",Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen, Gordon Liu"
7131,tt0338526,Van Helsing,Van Helsing,2004-05-03,18.8634,6.427,6848,"[27, 12, 28]",en,160000000,300257475,132,"Universal Pictures, The Sommers Company, Stillking Films",Stephen Sommers,"Hugh Jackman, Kate Beckinsale, Richard Roxburgh, Josie Maran, David Wenham"
27,tt0411705,9 Songs,9 Songs,2004-07-16,17.7095,5.531,602,"[18, 10402, 10749]",en,1000000,1574623,70,Revolution Films,Michael Winterbottom,"Kieran O'Brien, Margo Stilley, Courtney Taylor-Taylor, Alex Kapranos, Guy Garvey"
9470,tt0373074,Kung Fu Hustle,功夫,2004-02-10,14.9802,7.517,3327,"[28, 35, 80, 14]",cn,20000000,102034104,99,"Huayi Brothers & Taihe Film Investment, Star Overseas, Beijing Film Studio, CP Film Production Asia, China Film Group Corporation",Stephen Chow,"Stephen Chow, Yuen Qiu, Yuen Wah, Lam Tze-Chung, Bruce Leung Siu-Lung"
747,tt0365748,Shaun of the Dead,Shaun of the Dead,2004-04-09,18.8447,7.546,9622,"[27, 35]",en,6000000,39396175,99,"WT² Productions, Big Talk Studios",Edgar Wright,"Simon Pegg, Nick Frost, Kate Ashfield, Lucy Davis, Dylan Moran"
9509,tt0328107,Man on Fire,Man on Fire,2004-04-23,15.5985,7.466,5894,"[28, 18, 53]",en,70000000,130300000,146,"Fox 2000 Pictures, Regency Enterprises, New Regency Pictures, Scott Free Productions, Epsilon Motion Pictures, Estudios Churubusco Azteca, 20th Century Fox",Tony Scott,"Denzel Washington, Dakota Fanning, Christopher Walken, Radha Mitchell, Marc Anthony"
163,tt0349903,Ocean's Twelve,Ocean's Twelve,2004-12-09,15.5936,6.565,8119,"[53, 80]",en,110000000,362744280,125,"Warner Bros. Pictures, Jerry Weintraub Productions, Section Eight, Village Roadshow Pictures",Steven Soderbergh,"George Clooney, Julia Roberts, Brad Pitt, Matt Damon, Catherine Zeta-Jones"
1824,tt0343660,50 First Dates,50 First Dates,2004-02-13,14.5162,6.876,7916,"[35, 10749]",en,75000000,196482882,99,"Columbia Pictures, Anonymous Content, Flower Films, Happy Madison Productions",Peter Segal,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin, Lusia Strus"
10591,tt0265208,The Girl Next Door,The Girl Next Door,2004-04-09,16.4689,6.756,4178,"[35, 10749]",en,21000000,31635150,110,"Epsilon Motion Pictures, Regency Enterprises, New Regency Pictures, Daybreak",Luke Greenfield,"Emile Hirsch, Elisha Cuthbert, Timothy Olyphant, Christopher Rodriguez Marquette, Paul Dano"
1538,tt0369339,Collateral,Collateral,2004-08-04,15.303,7.248,6487,"[18, 80, 53]",en,65000000,220239925,120,"Paramount Pictures, Edge City, DreamWorks Pictures, Parkes+MacDonald Production",Michael Mann,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo, Peter Berg"
7220,tt0330793,The Punisher,The Punisher,2004-04-15,14.523,6.386,3281,"[28, 80, 18]",en,33000000,54700105,124,"Lions Gate Films, VIP Medienfonds 3, Valhalla Motion Pictures, Marvel Enterprises, VIP 2 Medienfonds",Jonathan Hensleigh,"Thomas Jane, John Travolta, Will Patton, Roy Scheider, Laura Harring"
