id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
948,tt0077651,Halloween,Halloween,1978-10-24,31.4465,7.558,6355,"[27, 53]",en,325000,70260597,91,"Compass International Pictures, Falcon International Productions, Miracle Films",John Carpenter,"Donald Pleasence, Jamie Lee Curtis, Nancy Kyes, P. J. Soles, Charles Cyphers"
641284,tt0129034,Carnal Excitation,Excitation au soleil,1978-03-22,13.135,4.0,4,[],fr,0,0,87,,Michel Lemoine,"Danièle Troeger, Morgane, Thierry de Brem, Olivier Mathot"
1924,tt0078346,Superman,Superman,1978-12-14,15.52,7.2,4418,"[878, 28, 12]",en,55000000,300478449,144,"Dovemead Films, Alexander and Ilya Salkind Productions, International Film Production",Richard Donner,"Christopher Reeve, Margot Kidder, Gene Hackman, Marlon Brando, Ned Beatty"
621,tt0077631,Grease,Grease,1978-06-16,15.3635,7.367,7822,"[10749, 35]",en,6000000,396271103,110,"Paramount Pictures, Robert Stigwood Organization, Fine Arts Films",Randal Kleiser,"Olivia Newton-John, John Travolta, Stockard Channing, Jeff Conaway, Barry Pearl"
4192,tt0077413,Death on the Nile,Death on the Nile,1978-09-29,12.0099,7.155,950,[9648],en,7920000,14560084,140,"Mersham Productions, EMI Films",John Guillermin,"Peter Ustinov, Jane Birkin, Lois Chiles, Bette Davis, Mia Farrow"
11230,tt0080179,Drunken Master,醉拳,1978-10-05,11.3571,7.394,1168,"[28, 35]",cn,0,16483650,111,Seasonal Film Corporation,Yuen Woo-ping,"Jackie Chan, Simon Yuen Siu-Tien, Hwang Jang-Lee, Dean Shek Tin, Hsu Hsia"
279117,tt0076628,Nest of Vipers,Ritratto di borghesia in nero,1978-03-03,11.3536,5.0,13,"[18, 10749]",it,0,27182,105,Mars Film Produzione,Tonino Cervi,"Ornella Muti, Senta Berger, Capucine, Christian Borromeo, Stefano Patrizi"
11778,tt0077416,The Deer Hunter,The Deer Hunter,1978-12-08,12.5383,7.962,4386,"[18, 10752]",en,15000000,49000000,183,"Universal Pictures, EMI Films",Michael Cimino,"Robert De Niro, Christopher Walken, John Cazale, John Savage, Meryl Streep"
42215,tt0079450,The Legacy,The Legacy,1978-09-29,9.2308,5.425,80,[27],en,2500000,11364985,102,"Universal Pictures, Pethurst Ltd., The Turman-Foster Company",Richard Marquand,"Katharine Ross, Sam Elliott, Roger Daltrey, John Standing, Ian Hogg"
1581437,,The Black Contribution: Literature and Theatre,The Black Contribution: Literature and Theatre,1978-11-15,11.282,0.0,0,"[99, 36]",en,0,0,11,"National Association for the Advancement of Colored People (NAACP), The Petersen Company",,"Roscoe Lee Browne, James Baldwin"
579,tt0077766,Jaws 2,Jaws 2,1978-06-16,8.7004,6.0,2184,"[27, 53]",en,20000000,187884000,117,"Universal Pictures, The Zanuck/Brown Company",Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer"
25239,tt0077713,Day of the Woman,Day of the Woman,1978-11-02,7.9509,6.0,747,[27],en,80000,0,101,"Deja Vu LLC., Cinemagic Pictures, The Jerry Gross Organization",Meir Zarchi,"Camille Keaton, Eron Tabor, Richard Pace, Anthony Nichols, Gunter Kleemann"
923,tt0077402,Dawn of the Dead,Dawn of the Dead,1978-09-02,8.3298,7.483,2376,"[27, 878]",en,640000,55000000,127,"Dawn Associates, Laurel Entertainment",George A. Romero,"David Emge, Ken Foree, Scott H. Reiniger, Gaylen Ross, David Crawford"
13333,tt0077594,Game of Death,死亡遊戲,1978-03-23,7.9051,6.393,759,"[18, 28, 53]",cn,850000,50000000,101,"Orange Sky Golden Harvest, Concord Productions, Columbia Pictures",Robert Clouse,"Bruce Lee, Gig Young, Dean Jagger, Hugh O'Brian, Colleen Camp"
8469,tt0077975,Animal House,Animal House,1978-07-28,7.7866,6.954,1726,[35],en,2700000,141000000,109,"Universal Pictures, Oregon Film Factory, Stage III Productions",John Landis,"John Belushi, Karen Allen, Tom Hulce, Stephen Furst, Mark Metcalf"
11850,tt0077745,Invasion of the Body Snatchers,Invasion of the Body Snatchers,1978-12-20,7.4826,7.225,1389,"[878, 27]",en,3500000,24946533,116,United Artists,Philip Kaufman,"Donald Sutherland, Brooke Adams, Leonard Nimoy, Jeff Goldblum, Veronica Cartwright"
123,tt0077869,The Lord of the Rings,The Lord of the Rings,1978-11-15,7.5599,6.585,1089,"[12, 16, 14]",en,4000000,30477175,132,"Fantasy Films, Bakshi Productions, Saul Zaentz Film Productions",Ralph Bakshi,"Christopher Guard, William Squire, Michael Scholes, John Hurt, Simon Chandler"
663604,tt6714706,Crazy Nights,Follie di notte,1978-04-20,6.4678,3.4,10,"[99, 10402]",it,0,0,92,Mago Film,Joe D'Amato,"Amanda Lear, Marina Hedman, Andrea Scazzola, Ajita Wilson, Rick 'Ercolino' Martino"
