id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
1494843,,丫丫,丫丫,1979-03-01,44.182,0.0,0,[],zh,0,0,0,,,"Song Xiaoying, Luan Furen"
348,tt0078748,Alien,Alien,1979-05-25,33.6546,8.173,16843,"[27, 878]",en,11000000,104931801,117,"Brandywine Productions, Twentieth Century-Fox Productions, Ronald Shusett Productions",Ridley Scott,"Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton, John Hurt"
28,tt0078788,Apocalypse Now,Apocalypse Now,1979-05-19,22.9983,8.261,9375,"[18, 10752]",en,31500000,150000000,147,American Zoetrope,Francis Ford Coppola,"Martin Sheen, Marlon Brando, Frederic Forrest, Albert Hall, Laurence Fishburne"
226674,tt0077123,The Adolescent,L'Adolescente,1979-01-24,19.8574,4.842,19,[18],fr,0,0,90,"Carthago Coop. Cinematográfica, Südwestfunk, Janus Filmproduktion GmbH",Jeanne Moreau,"Simone Signoret, Francis Huster, Laetitia Chauveau, Edith Clever, Jacques Weber"
10654,tt0079261,Hair,Hair,1979-03-15,13.5998,7.251,770,"[10402, 18, 35]",en,11000000,15313606,121,"CIP Filmproduktion GmbH, United Artists",Miloš Forman,"John Savage, Treat Williams, Beverly D'Angelo, Annie Golden, Dorsey Wright"
330477,tt0078819,Baby Love,Baby Love,1979-01-01,13.1828,3.0,7,[35],it,0,0,89,,Rino Di Silvestro,"Paola Maiolini, Violette Lafont, Oliver Kris, Jessica Sabel, Tiger Chin"
9659,tt0079501,Mad Max,Mad Max,1979-04-12,14.1396,6.7,5107,"[28, 53, 878]",en,350000,100000000,91,Kennedy Miller Productions,George Miller,"Mel Gibson, Joanne Samuel, Hugh Keays-Byrne, Steve Bisley, Tim Burns"
15371,tt0079833,The Castle of Cagliostro,ルパン三世 カリオストロの城,1979-07-06,11.7758,7.507,1170,"[16, 12, 35, 80]",ja,7202188,8194857,102,"Tokyo Movie Shinsha, Telecom Animation Film",Hayao Miyazaki,"Yasuo Yamada, Kiyoshi Kobayashi, Eiko Masuyama, Makio Inoue, Gorō Naya"
152,tt0079945,Star Trek: The Motion Picture,Star Trek: The Motion Picture,1979-12-07,10.8467,6.5,2006,"[878, 12, 9648]",en,44000000,139346243,131,"Paramount Pictures, Century Associates, Robert Wise Productions",Robert Wise,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, George Takei"
9453,tt0080491,Caligula,Caligola,1979-08-14,9.7888,5.977,1015,"[18, 36]",it,17500000,23400000,156,"Penthouse Films International, Felix Cinematografica",Tinto Brass,"Malcolm McDowell, Teresa Ann Savoy, Helen Mirren, Peter O'Toole, John Steiner"
583,tt0079470,Life of Brian,Life of Brian,1979-08-17,10.7665,7.761,5097,[35],en,4000000,20833252,94,"Handmade Films, Python (Monty) Pictures",Terry Jones,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones"
11474,tt0080120,The Warriors,The Warriors,1979-02-01,9.0179,7.679,2465,"[28, 53]",en,4000000,22490039,94,"Paramount Pictures, Lawrence Gordon Productions",Walter Hill,"Michael Beck, James Remar, David Patrick Kelly, Dorsey Wright, David Harris"
1398,tt0079944,Stalker,Сталкер,1979-05-25,9.2895,8.1,2603,"[878, 18]",ru,120000,0,162,Mosfilm,Andrei Tarkovsky,"Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Mykola Hrynko, Natalya Abramova"
1367,tt0079817,Rocky II,Rocky II,1979-06-15,9.7253,7.298,4963,"[18, 28]",en,7000000,200182160,119,"United Artists, Winkler Films",Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith"
698,tt0079574,Moonraker,Moonraker,1979-06-26,9.0702,6.186,2290,"[28, 12, 53, 878]",en,34000000,210308099,126,"EON Productions, Les Productions Artistes Associés",Lewis Gilbert,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel, Corinne Cléry"
