id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
11,tt0076759,Star Wars,Star Wars,1977-05-25,36.7521,8.208,22870,"[12, 28, 878]",en,11000000,775398007,121,Lucasfilm Ltd.,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness"
703,tt0075686,Annie Hall,Annie Hall,1977-04-19,14.9955,7.714,4343,"[35, 18, 10749]",en,4000000,43989445,93,"Jack Rollins & Charles H. Joffe Productions, United Artists",Woody Allen,"Diane Keaton, Woody Allen, Tony Roberts, Carol Kane, Paul Simon"
625064,tt0193074,Erotic Sex Games,Le cri du désir,1977-01-12,11.8627,5.133,15,"[18, 10749]",fr,0,0,85,Sam Films,Alain Nauroy,"Michèle Perello, Richard Darbois, André Chazel, Henri Czarniak, Michèle Grubert"
840,tt0075860,Close Encounters of the Third Kind,Close Encounters of the Third Kind,1977-12-14,12.4919,7.358,4845,"[878, 18]",en,20000000,306889114,137,"Julia Phillips and Michael Phillips Productions, Columbia Pictures, EMI Films",Steven Spielberg,"Richard Dreyfuss, François Truffaut, Teri Garr, Melinda Dillon, Bob Balaban"
11319,tt0076618,The Rescuers,The Rescuers,1977-06-22,12.315,6.8,2728,"[14, 10751, 16, 12]",en,7500000,169015869,78,Walt Disney Productions,"Wolfgang Reitherman, John Lounsbery, Art Stevens","Bob Newhart, Eva Gabor, Geraldine Page, Joe Flynn, Jeanette Nolan"
691,tt0076752,The Spy Who Loved Me,The Spy Who Loved Me,1977-07-07,10.3942,6.822,2308,"[12, 28, 53]",en,13500000,185438673,125,"EON Productions, United Artists",Lewis Gilbert,"Roger Moore, Barbara Bach, Curd Jürgens, Richard Kiel, Caroline Munro"
5902,tt0075784,A Bridge Too Far,A Bridge Too Far,1977-06-15,8.2766,7.198,973,"[18, 36, 10752]",en,22000000,50750000,175,"United Artists, Joseph E. Levine Productions",Richard Attenborough,"Dirk Bogarde, James Caan, Michael Caine, Sean Connery, Edward Fox"
11906,tt0076786,Suspiria,Suspiria,1977-02-01,8.0318,7.5,3257,[27],it,0,2900000,99,Seda Spettacoli,Dario Argento,"Jessica Harper, Stefania Casini, Flavio Bucci, Miguel Bosé, Barbara Magnolfi"
985,tt0074486,Eraserhead,Eraserhead,1977-09-28,7.8508,7.335,2832,"[27, 878]",en,100000,7100000,89,AFI,David Lynch,"Jack Nance, Charlotte Stewart, Allen Joseph, Jeanne Bates, Judith Roberts"
46853,tt0076749,Playing with Love,Maladolescenza,1977-05-06,7.7949,5.27,89,[18],it,0,0,94,"Cinema 23 Film, Monarex, Petra Cinematografica, Seven Star Film",Pier Giuseppe Murgia,"Lara Wendel, Éva Ionesco, Martin Loeb"
39412,tt0077497,Emmanuelle 3,Goodbye Emmanuelle,1977-10-14,7.2448,4.6,87,"[18, 10749]",fr,0,0,100,"Trinacra Films, Parafrance Films",François Leterrier,"Sylvia Kristel, Umberto Orsini, Jean-Pierre Bouvier, Alexandra Stewart, Olga Georges-Picot"
250480,tt0076363,The Many Adventures of Winnie the Pooh,The Many Adventures of Winnie the Pooh,1977-03-11,8.1612,7.245,1199,"[16, 10751, 12]",en,0,0,74,Walt Disney Productions,"John Lounsbery, Wolfgang Reitherman","Sterling Holloway, John Fiedler, Junius Matthews, Paul Winchell, Ralph Wright"
89644,tt0074469,Captive Women 4,Elsa Fräulein SS,1977-09-26,7.0124,4.894,33,"[53, 27, 10752]",fr,0,0,90,Eurociné,Patrice Rhomm,"Malisa Longo, Olivier Mathot, Patrizia Gori, Pamela Stanford, Claudine Beccarie"
553168,tt0287159,Girl’s Pleasure: Man Hunting,横須賀男狩り 少女・悦楽,1977-05-21,6.8196,4.3,6,"[18, 53]",ja,0,0,77,Nikkatsu Corporation,Toshiya Fujita,"Kaori Ono, Jun Nakagawa, Shigeru Yazaki, Moeko Ezawa, Aya Origuchi"
11006,tt0076729,Smokey and the Bandit,Smokey and the Bandit,1977-05-27,6.6229,7.0,834,"[28, 12, 35]",en,4300000,126700000,96,Universal Pictures,Hal Needham,"Burt Reynolds, Sally Field, Jerry Reed, Mike Henry, Paul Williams"
11009,tt0076666,Saturday Night Fever,Saturday Night Fever,1977-12-16,6.5605,6.7,2146,[18],en,3500000,237113184,118,"Robert Stigwood Organization, Paramount Pictures, SNF Productions",John Badham,"John Travolta, Karen Lynn Gorney, Barry Miller, Joseph Cali, Paul Pape"
38985,tt0076740,Sorcerer,Sorcerer,1977-06-24,5.8656,7.5,691,"[53, 12]",en,22000000,9000000,122,"Paramount Pictures, Universal Pictures, Film Properties International",William Friedkin,"Roy Scheider, Bruno Cremer, Francisco Rabal, Amidou, Ramon Bieri"
11935,tt0077294,Capricorn One,Capricorn One,1977-12-10,5.7685,6.778,528,"[18, 28, 53, 878]",en,5000000,12000000,123,"Associated General Films, ITC Entertainment",Peter Hyams,"Elliott Gould, James Brolin, Brenda Vaccaro, Sam Waterston, O. J. Simpson"
50435,tt0075753,Bilitis,Bilitis,1977-03-16,5.5075,5.384,112,"[18, 10749]",fr,0,0,95,"Mars International Productions, Ectafilms, Films 21",David Hamilton,"Patti D'Arbanville, Mona Kristensen, Bernard Giraudeau, Gilles Kohler, Mathieu Carrière"
11586,tt0076009,Exorcist II: The Heretic,Exorcist II: The Heretic,1977-06-17,5.4198,4.534,818,[27],en,14000000,30749142,118,Warner Bros. Pictures,John Boorman,"Richard Burton, Linda Blair, Louise Fletcher, Max von Sydow, Kitty Winn"
11689,tt0074442,Crime Busters,I due superpiedi quasi piatti,1977-04-01,5.2907,6.999,735,"[28, 35]",it,0,0,115,"Tritone Cinematografica, T.O.T.A.",Enzo Barboni,"Terence Hill, Bud Spencer, David Huddleston, Luciano Catenacci, Ezio Marano"
11114,tt0076538,Pete's Dragon,Pete's Dragon,1977-11-03,5.1962,6.32,737,"[14, 16, 35, 10751]",en,10000000,0,128,Walt Disney Productions,Don Chaffey,"Sean Marshall, Helen Reddy, Jim Dale, Mickey Rooney, Red Buttons"
17689,tt0076070,The Gauntlet,The Gauntlet,1977-12-17,5.0652,6.5,626,"[18, 28, 80, 53]",en,5500000,26400000,109,"Malpaso Productions, Warner Bros. Pictures",Clint Eastwood,"Clint Eastwood, Sondra Locke, Pat Hingle, William Prince, Bill McKinney"
11590,tt0076723,Slap Shot,Slap Shot,1977-02-25,4.8642,6.778,465,"[35, 18]",en,6000000,28000000,123,Universal Pictures,George Roy Hill,"Paul Newman, Strother Martin, Michael Ontkean, Jennifer Warren, Lindsay Crouse"
42222,tt0076245,Julia,Julia,1977-10-01,4.6972,6.497,173,"[18, 36]",en,7840000,20700000,117,20th Century Fox,Fred Zinnemann,"Jane Fonda, Vanessa Redgrave, Jason Robards, Maximilian Schell, Hal Holbrook"
5781,tt0075824,That Obscure Object of Desire,Cet obscur objet du désir,1977-08-17,4.6556,7.451,463,"[35, 18, 10749]",fr,0,2864,103,"Incine, Greenwich Film Production, Les Films Galaxie",Luis Buñuel,"Fernando Rey, Carole Bouquet, Ángela Molina, Julien Bertheau, André Weber"
12707,tt0076504,Orca,Orca,1977-07-22,4.6334,6.188,482,"[27, 53]",en,17500000,14717854,92,"DDL Cinematografica, Famous Films Productions",Michael Anderson,"Richard Harris, Charlotte Rampling, Will Sampson, Bo Derek, Keenan Wynn"
18775,tt0075931,Demon Seed,Demon Seed,1977-04-07,4.5674,5.899,278,"[27, 878]",en,0,0,94,Metro-Goldwyn-Mayer,Donald Cammell,"Julie Christie, Fritz Weaver, Gerrit Graham, Berry Kroeger, Lisa Lu"
24655,tt0075809,The Car,The Car,1977-05-12,4.547,6.372,341,"[27, 28, 53, 9648, 14]",en,0,0,96,"Universal Pictures, Hollywood Road Films",Elliot Silverstein,"James Brolin, Kathleen Lloyd, John Marley, R.G. Armstrong, John Rubinstein"
18196,tt0076683,The Sentinel,The Sentinel,1977-01-07,4.5359,6.093,237,"[27, 9648, 14]",en,0,3,92,Universal Pictures,Michael Winner,"Cristina Raines, Chris Sarandon, Martin Balsam, John Carradine, José Ferrer"
14140,tt0076137,Herbie Goes to Monte Carlo,Herbie Goes to Monte Carlo,1977-06-24,4.5325,5.933,362,"[10749, 35, 10751, 28, 12]",en,0,29000000,105,Walt Disney Productions,Vincent McEveety,"Dean Jones, Don Knotts, Julie Sommars, Jacques Marin, Roy Kinnear"
390678,tt10750586,Cobra,Cobra,1977-01-01,4.4493,5.0,1,"[28, 18]",id,0,0,84,PT Nugraha Mas Film,Rempo Urip,"Steven Lee, Yetty Loren, R.D. Mochtar, Moh. Mochtar, Enden Marlinda"
19067,tt0075968,The Duellists,The Duellists,1977-08-31,4.4019,7.251,655,"[18, 10752]",en,900000,0,100,"Enigma Productions, Paramount Pictures, Scott Free Productions, National Film Finance Corporation",Ridley Scott,"Keith Carradine, Harvey Keitel, Albert Finney, Edward Fox, Cristina Raines"
25623,tt0076162,House,ハウス,1977-08-26,4.2996,7.336,829,"[35, 14, 27]",ja,0,0,88,Toho Eizo Bijutsu,Nobuhiko Obayashi,"Kimiko Ikegami, Kumiko Ohba, Ai Matsubara, Miki Jinbo, Eriko Tanaka"
48101,tt0204704,Space Battleship Yamato,宇宙戦艦ヤマト,1977-08-06,4.2354,7.75,14,"[28, 16, 12, 878, 18, 10749]",ja,0,23000000,135,"Office Academy, TOHO",Toshio Masuda,"Gorō Naya, Kei Tomiyama, Shūsei Nakamura, Yoko Asagami, Ichiro Nagai"
333207,tt3361026,Cinders of the Vineyard,رماد الزريبة,1977-01-02,4.2267,0.0,0,[],ar,0,0,0,,"Mostafa Derkaoui, Abdelkader Lagtaa, Abdelkrim Derkaoui","Mohamed El Habachi, Ahmed Naji"
421223,tt0074945,La máscara,La máscara,1977-07-31,4.1576,6.625,4,[18],es,0,0,98,IFI Producción S.A.,Ignacio F. Iquino,"Patricia Adriani, Rosa Valenty, Eudaldo Escala, Maife Gil, Marcel Ibero"
127978,tt0353264,To Be Unwanted,Liekam būt,1977-06-13,4.1508,6.5,6,"[80, 53, 18]",lv,0,0,91,Rīgas kinostudija,Aloiz Brench,"Vytautas Tomkus, Valdemārs Zandbergs, Astrīda Kairiša, Harijs Liepiņš, Helga Dancberga"
481327,tt0240607,Idílio Proibido,Idílio Proibido,1977-05-18,4.0929,7.0,1,[18],pt,0,0,0,,Konstantin Tkaczenko,"Sueli Fernandes, Roberto Batalin, Maria Stella Splendore, Marcos Roberto, Roberto Mauro"
12637,tt0076451,"New York, New York","New York, New York",1977-06-21,4.0749,6.531,517,"[10749, 18, 10402]",en,14000000,16400000,163,"United Artists, Winkler Films",Martin Scorsese,"Liza Minnelli, Robert De Niro, Lionel Stander, Barry Primus, Mary Kay Place"
20416,tt0075925,The Deep,The Deep,1977-06-17,4.0216,6.1,277,"[9648, 53, 12]",en,9000000,100000000,123,"EMI Films, Casablanca Filmworks, Columbia Pictures",Peter Yates,"Robert Shaw, Jacqueline Bisset, Nick Nolte, Louis Gossett Jr., Eli Wallach"
62752,tt0075849,Cinderella,Cinderella,1977-05-01,4.0092,5.581,43,[35],en,0,0,94,Charles Band Productions,Michael Pataki,"Cheryl Smith, Yana Nirvana, Jennifer Stace, Marilyn Corwin, Sy Richardson"
10839,tt0074695,Cross of Iron,Cross of Iron,1977-01-28,3.9962,7.138,501,"[18, 28, 36, 10752]",en,6000000,1509000,133,"Rapid Film, EMI Films, Terra-Filmkunst, Alex Winitsky / Arlene Sellers Productions",Sam Peckinpah,"James Coburn, Maximilian Schell, James Mason, David Warner, Klaus Löwitsch"
