id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
772,tt0104431,Home Alone 2: Lost in New York,Home Alone 2: Lost in New York,1992-11-15,26.4236,6.794,10895,"[35, 10751, 12]",en,18000000,358994850,120,"20th Century Fox, Hughes Entertainment",Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, Catherine O'Hara, John Heard"
500,tt0105236,Reservoir Dogs,Reservoir Dogs,1992-09-02,22.9897,8.111,15814,"[80, 53]",en,1200000,2859750,99,"Live Entertainment, Dog Eat Dog Productions",Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn, Steve Buscemi"
812,tt0103639,Aladdin,Aladdin,1992-11-25,21.667,7.658,12257,"[16, 10751, 12, 14, 10749]",en,28000000,504050219,91,Walt Disney Feature Animation,"Ron Clements, John Musker","Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman, Gilbert Gottfried"
364,tt0103776,Batman Returns,Batman Returns,1992-06-19,19.8644,6.951,7278,"[28, 14]",en,80000000,280000000,126,"Warner Bros. Pictures, Polygram Pictures",Tim Burton,"Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken, Michael Gough"
402,tt0103772,Basic Instinct,Basic Instinct,1992-03-20,19.796,6.9,4532,"[53, 9648]",en,49000000,352927224,128,"Carolco Pictures, Le Studio Canal+",Paul Verhoeven,"Michael Douglas, Sharon Stone, George Dzundza, Jeanne Tripplehorn, Denis Arndt"
6114,tt0103874,Bram Stoker's Dracula,Bram Stoker's Dracula,1992-11-13,16.7424,7.448,5923,"[10749, 27]",en,40000000,215862692,128,"American Zoetrope, Osiris Films, Columbia Pictures",Francis Ford Coppola,"Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves, Sadie Frost"
105825,tt0104719,Erotic Ghost Story III,聊齋三集之燈草和尚,1992-03-05,15.8661,5.6,32,"[14, 27]",cn,0,1201428,94,"大路電影製作有限公司, Orange Sky Golden Harvest",Ivan Lai Kai-Ming,"Pauline Chan Bo-Lin, Shing Fui-On, Kenny Wong Tak-Ban, Chik King-Man, 张京花"
9374,tt0104070,Death Becomes Her,Death Becomes Her,1992-07-30,15.6156,6.794,3084,"[35, 14, 27]",en,55000000,149000000,104,"Universal Pictures, South Side Amusement Company",Robert Zemeckis,"Meryl Streep, Goldie Hawn, Bruce Willis, Isabella Rossellini, Ian Ogilvy"
766,tt0106308,Army of Darkness,Army of Darkness,1992-10-31,14.8299,7.258,3673,"[14, 27, 35]",en,11000000,21502976,89,"Renaissance Pictures, Introvision International, Dino de Laurentiis Communications",Sam Raimi,"Bruce Campbell, Embeth Davidtz, Marcus Gilbert, Ian Abercrombie, Richard Grove"
9475,tt0105323,Scent of a Woman,Scent of a Woman,1992-12-23,13.7415,7.793,4083,[18],en,31000000,134100000,156,"Universal Pictures, City Light Films",Martin Brest,"Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar, Philip Seymour Hoffman"
2005,tt0105417,Sister Act,Sister Act,1992-05-28,12.9041,6.837,3534,"[10402, 35]",en,31000000,231605150,100,"Touchstone Pictures, Touchwood Pacific Partners 1, Scott Rudin Productions",Emile Ardolino,"Whoopi Goldberg, Maggie Smith, Kathy Najimy, Wendy Makkena, Mary Wickes"
33,tt0105695,Unforgiven,Unforgiven,1992-08-07,15.5708,7.9,5103,[37],en,14400000,159157447,130,"Warner Bros. Pictures, Malpaso Productions",Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman, Jaimz Woolvett, Richard Harris"
881,tt0104257,A Few Good Men,A Few Good Men,1992-12-11,12.6653,7.6,4319,[18],en,40000000,243240178,138,"David Brown Productions, Castle Rock Entertainment",Rob Reiner,"Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon, Kiefer Sutherland"
8077,tt0103644,Alien³,Alien³,1992-05-22,11.9916,6.4,6581,"[878, 28, 27]",en,50000000,159773545,114,"20th Century Fox, Brandywine Productions",David Fincher,"Sigourney Weaver, Charles S. Dutton, Charles Dance, Paul McGann, Brian Glover"
10995,tt0101316,The Lover,L'Amant,1992-01-22,11.2604,7.012,779,"[18, 10749]",fr,0,5013090,115,"Timothy Burrill Productions, Renn Productions, Grai Phang Film Studio, Films A2",Jean-Jacques Annaud,"Jane March, Tony Leung Ka-fai, Frédérique Meininger, Arnaud Giovaninetti, Melvil Poupaud"
619,tt0103855,The Bodyguard,The Bodyguard,1992-11-25,11.6197,6.706,3349,"[28, 18, 10749]",en,25000000,411006740,129,"Kasdan Pictures, Tig Productions, Warner Bros. Pictures",Mick Jackson,"Kevin Costner, Whitney Houston, Gary Kemp, Bill Cobbs, Ralph Waite"
8845,tt0105690,Under Siege,Under Siege,1992-10-08,10.2531,6.307,1798,"[28, 53]",en,35000000,156563139,102,"Regency Enterprises, Warner Bros. Pictures, Alcor Films, Arnon Milchan Productions, Le Studio Canal+",Andrew Davis,"Steven Seagal, Tommy Lee Jones, Gary Busey, Erika Eleniak, Colm Meaney"
11621,tt0104652,Porco Rosso,紅の豚,1992-07-18,10.9892,7.793,3815,"[16, 12, 14]",ja,9200000,44600000,93,"Studio Ghibli, Tokuma Shoten, Nippon Television Network Corporation, Japan Airlines, Japan Airlines Cultural Business Center",Hayao Miyazaki,"Shūichirō Moriyama, Tokiko Kato, Bunshi Katsura VI, Tsunehiko Kamijô, Akemi Okamura"
9361,tt0104691,The Last of the Mohicans,The Last of the Mohicans,1992-08-26,11.1398,7.386,3545,"[36, 10752, 18]",en,40000000,75505856,112,Morgan Creek Entertainment,Michael Mann,"Daniel Day-Lewis, Madeleine Stowe, Jodhi May, Russell Means, Wes Studi"
