id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
674,tt0330373,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,2005-11-16,41.2185,7.802,22637,"[12, 14]",en,150000000,895921036,157,"Warner Bros. Pictures, Heyday Films, Patalex IV Productions",Mike Newell,"Daniel Radcliffe, Rupert Grint, Emma Watson, Brendan Gleeson, Michael Gambon"
411,tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,32.5238,7.144,11768,"[12, 10751, 14]",en,180000000,745013115,143,"Walt Disney Pictures, Walden Media, C.S. Lewis Company",Andrew Adamson,"Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Tilda Swinton"
1495,tt0320661,Kingdom of Heaven,Kingdom of Heaven,2005-05-03,31.3054,7.086,5228,"[18, 28, 12, 36, 10752]",en,130000000,218366336,144,"Scott Free Productions, BK, KOH, Reino del Cielo, Inside Track 3, 20th Century Fox, Babelsberg Film",Ridley Scott,"Orlando Bloom, Eva Green, Jeremy Irons, David Thewlis, Ghassan Massoud"
272,tt0372784,Batman Begins,Batman Begins,2005-06-10,27.7584,7.73,23178,"[18, 80, 28]",en,150000000,374218673,140,"Warner Bros. Pictures, DC, Syncopy, Legendary Pictures, Patalex III Productions",Christopher Nolan,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes, Gary Oldman"
4348,tt0414387,Pride & Prejudice,Pride & Prejudice,2005-09-16,26.1061,8.1,8950,"[18, 10749]",en,28000000,124604345,128,"StudioCanal, Working Title, Scion Films, Focus Features",Joe Wright,"Keira Knightley, Matthew Macfadyen, Brenda Blethyn, Rosamund Pike, Carey Mulligan"
3933,tt0121164,Corpse Bride,Corpse Bride,2005-09-12,27.1893,7.59,10421,"[10749, 14, 16]",en,40000000,118133252,77,"Tim Burton Productions, LAIKA, Patalex Productions, Warner Bros. Pictures","Tim Burton, Mike Johnson","Johnny Depp, Helena Bonham Carter, Emily Watson, Tracey Ullman, Paul Whitehouse"
118,tt0367594,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,2005-07-13,25.4393,7.037,16384,"[12, 35, 10751, 14]",en,150000000,475000000,115,"Warner Bros. Pictures, Village Roadshow Pictures, The Zanuck Company, Plan B Entertainment, Theobald Film Productions",Tim Burton,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Noah Taylor"
953,tt0351283,Madagascar,Madagascar,2005-05-25,24.1041,6.931,11997,"[12, 16, 35, 10751]",en,75000000,542064525,86,"Pacific Data Images, DreamWorks Animation","Eric Darnell, Tom McGrath","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen"
74,tt0407304,War of the Worlds,War of the Worlds,2005-06-28,21.1384,6.572,9524,"[12, 53, 878]",en,132000000,603873119,117,"Paramount Pictures, DreamWorks Pictures, Amblin Entertainment, Cruise/Wagner Productions",Steven Spielberg,"Tom Cruise, Dakota Fanning, Miranda Otto, Justin Chatwin, Tim Robbins"
9738,tt0120667,Fantastic Four,Fantastic Four,2005-06-29,18.2956,5.8,10216,"[28, 14, 878]",en,100000000,333535934,106,"Kumar Mobiliengesellschaft & Company Projekt Nr. 3, 1492 Pictures, Marvel Enterprises, 20th Century Fox, Bernd Eichinger Productions, Constantin Film",Tim Story,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon"
