id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
769,tt0099685,GoodFellas,GoodFellas,1990-09-12,28.0692,8.451,14756,"[18, 80]",en,25000000,47072327,145,"Winkler Films, Warner Bros. Pictures",Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino"
251,tt0099653,Ghost,Ghost,1990-07-13,17.6642,7.247,6202,"[14, 10749, 53]",en,22000000,505000000,127,"Paramount Pictures, Howard W. Koch Productions",Jerry Zucker,"Patrick Swayze, Demi Moore, Whoopi Goldberg, Tony Goldwyn, Vincent Schiavelli"
19384,tt0099817,Dark Angel,Dark Angel,1990-01-26,16.3132,6.171,400,"[28, 53, 878]",en,7000000,9200000,91,"Vision International, Vision PDG, Epic Productions, Trans World Entertainment",Craig R. Baxley,"Dolph Lundgren, Brian Benben, Betsy Brantley, Matthias Hues, Jay Bilas"
242,tt0099674,The Godfather Part III,The Godfather Part III,1990-12-25,23.1159,7.416,7054,"[80, 18, 53]",en,54000000,136766062,162,"Paramount Pictures, American Zoetrope",Francis Ford Coppola,"Al Pacino, Diane Keaton, Talia Shire, Andy Garcia, Eli Wallach"
162,tt0099487,Edward Scissorhands,Edward Scissorhands,1990-12-07,18.0838,7.72,14033,"[14, 18, 10749]",en,20000000,86024005,105,20th Century Fox,Tim Burton,"Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall, Kathy Baker"
861,tt0100802,Total Recall,Total Recall,1990-06-01,17.1636,7.328,6684,"[28, 12, 878]",en,65000000,261317921,113,"Carolco Pictures, Ronald Shusett/Gary Goldman Productions",Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Michael Ironside, Marshall Bell"
1573,tt0099423,Die Hard 2,Die Hard 2,1990-07-03,14.7603,6.967,6586,"[28, 53]",en,70000000,240031094,124,"Gordon Company, Silver Pictures, 20th Century Fox",Renny Harlin,"Bruce Willis, Bonnie Bedelia, William Sadler, John Amos, Franco Nero"
114,tt0100405,Pretty Woman,Pretty Woman,1990-03-23,15.1702,7.4,9169,"[10749, 35]",en,14000000,463406268,120,"Touchstone Pictures, Silver Screen Partners IV, Arnon Milchan Productions",Garry Marshall,"Julia Roberts, Richard Gere, Ralph Bellamy, Jason Alexander, Laura San Giacomo"
581,tt0099348,Dances with Wolves,Dances with Wolves,1990-11-09,15.5728,7.841,4822,"[12, 18, 37]",en,22000000,424208848,181,"Tig Productions, Majestic Films International, Allied Filmmakers",Kevin Costner,"Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant, Floyd 'Red Crow' Westerman"
169,tt0100403,Predator 2,Predator 2,1990-11-21,13.7238,6.313,3989,"[878, 28, 53]",en,35000000,57120318,108,"Davis Entertainment, Lawrence Gordon Productions, Silver Pictures, 20th Century Fox",Stephen Hopkins,"Danny Glover, Gary Busey, Rubén Blades, María Conchita Alonso, Bill Paxton"
1669,tt0099810,The Hunt for Red October,The Hunt for Red October,1990-03-02,14.4345,7.387,3757,"[28, 53]",en,30000000,200512643,135,"Paramount Pictures, Mace Neufeld/Jerry Sherlock Productions",John McTiernan,"Sean Connery, Alec Baldwin, Scott Glenn, Sam Neill, James Earl Jones"
196,tt0099088,Back to the Future Part III,Back to the Future Part III,1990-05-25,14.4642,7.495,11817,"[12, 35, 878]",en,40000000,244527583,119,"Universal Pictures, Amblin Entertainment",Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson, Lea Thompson"
2119,tt0099371,Days of Thunder,Days of Thunder,1990-06-27,11.8217,6.398,1793,"[12, 28, 18]",en,60000000,157920733,107,"Paramount Pictures, Don Simpson/Jerry Bruckheimer Films",Tony Scott,"Tom Cruise, Robert Duvall, Nicole Kidman, Randy Quaid, Cary Elwes"
263354,tt0100572,The Secret,Il segreto,1990-02-16,10.5906,4.0,2,[18],it,0,0,110,"Reteitalia, Cecchi Gori Group Tiger Cinematografica, Cinelife",Francesco Maselli,"Nastassja Kinski, Stefano Dionisi, Franco Citti, Chiara Caselli, Alessandra Marson"
1700,tt0100157,Misery,Misery,1990-11-30,11.2692,7.754,5409,"[18, 53]",en,20000000,61300000,107,"Castle Rock Entertainment, Nelson Entertainment",Rob Reiner,"Kathy Bates, James Caan, Richard Farnsworth, Lauren Bacall, Frances Sternhagen"
9362,tt0100814,Tremors,Tremors,1990-01-19,10.8156,6.949,3696,"[35, 27, 878]",en,11000000,48572000,96,"No Frills Film, Wilson-Maddock Production",Ron Underwood,"Kevin Bacon, Fred Ward, Finn Carter, Michael Gross, Reba McEntire"
11005,tt0099077,Awakenings,Awakenings,1990-12-04,10.7757,7.786,2954,[18],en,31000000,52096475,120,Parkes/Lasker productions,Penny Marshall,"Robert De Niro, Robin Williams, John Heard, Julie Kavner, Penelope Ann Miller"
14864,tt0099797,The Hot Spot,The Hot Spot,1990-10-12,10.7481,6.3,312,"[10749, 80, 53]",en,0,1293976,130,"Orion Pictures, Arnold Kopelson Productions, Kopelson Entertainment",Dennis Hopper,"Don Johnson, Virginia Madsen, Jennifer Connelly, Charles Martin Smith, William Sadler"
11186,tt0099253,Child's Play 2,Child's Play 2,1990-11-09,10.2771,6.377,2093,[27],en,13000000,35763605,84,"Universal Pictures, David Kirschner Productions",John Lafia,"Alex Vincent, Brad Dourif, Christine Elise, Jenny Agutter, Gerrit Graham"
1498,tt0100758,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,1990-03-30,9.2256,6.71,2021,"[878, 28, 12, 35, 10751]",en,13500000,201965915,93,"Orange Sky Golden Harvest, Mirage Studios",Steve Barron,"Brian Tochi, Josh Pais, Corey Feldman, Robbie Rist, Judith Hoag"
60898,tt0100014,Erotic Ghost Story,聊齋艷譚,1990-05-19,9.4412,6.2,95,"[14, 18, 27]",cn,0,0,88,"Diagonal Pictures, Orange Sky Golden Harvest",Lam Ngai Kai,"Amy Yip Chi-Mei, Man Siu, Hitomi Kudô, Pal Sinn Lap-Man, Susan Ha Chi-Chun"
928,tt0099700,Gremlins 2: The New Batch,Gremlins 2: The New Batch,1990-06-15,8.3561,6.5,2995,"[35, 27, 14]",en,50000000,41482207,106,"Amblin Entertainment, Warner Bros. Pictures",Joe Dante,"Zach Galligan, Phoebe Cates, John Glover, Robert Prosky, Robert Picardo"
9399,tt0100029,Lionheart,Lionheart,1990-06-07,8.36,6.634,1202,[28],en,6000000,24271196,105,"Universal Pictures, Imperial Entertainment",Sheldon Lettich,"Jean-Claude Van Damme, Harrison Page, Lisa Pelikan, Ashley Johnson, Deborah Rennard"
2291,tt0099871,Jacob's Ladder,Jacob's Ladder,1990-11-02,7.7494,7.4,1988,"[18, 9648, 27]",en,25000000,26118851,113,Carolco Pictures,Adrian Lyne,"Tim Robbins, Elizabeth Peña, Danny Aiello, Matt Craven, Pruitt Taylor Vince"
10166,tt0100944,The Witches,The Witches,1990-05-25,8.2602,6.97,1418,"[14, 10751, 27]",en,11000000,15400000,91,"Lorimar Film Entertainment, Jim Henson Productions, Warner Bros. Pictures",Nicolas Roeg,"Jasen Fisher, Mai Zetterling, Anjelica Huston, Charlie Potter, Rowan Atkinson"
28339,tt0103111,Hard to Die,Hard to Die,1990-10-09,7.1402,6.071,70,"[28, 35, 53]",en,0,0,84,"Pacific Trust, New Classics, Miracle Pictures",Jim Wynorski,"Gail Harris, Karen Mayo-Chandler, Deborah Dutch, Melissa Moore, Bridget Carney"
5549,tt0100502,RoboCop 2,RoboCop 2,1990-06-22,8.2309,6.0,2205,"[28, 878, 53]",en,35000000,45681173,117,Orion Pictures,Irvin Kershner,"Peter Weller, Nancy Allen, Tom Noonan, Belinda Bauer, Willard E. Pugh"
483,tt0100935,Wild at Heart,Wild at Heart,1990-08-17,8.6735,7.024,1978,"[80, 53, 10749]",en,9500000,14569027,125,"PolyGram Filmed Entertainment, Propaganda Films, PolyGram Filmproduktion",David Lynch,"Nicolas Cage, Laura Dern, Willem Dafoe, Diane Ladd, Harry Dean Stanton"
18311,tt0101258,Days of Being Wild,阿飛正傳,1990-12-15,7.4332,7.3,614,"[80, 18, 10749]",cn,0,3255404,94,In-Gear Film Production Co. Ltd.,Wong Kar-Wai,"Leslie Cheung, Maggie Cheung, Andy Lau, Carina Lau, Jacky Cheung Hok-Yau"
1727,tt0099141,Bird on a Wire,Bird on a Wire,1990-05-18,7.6712,6.239,1072,"[35, 10749, 12]",en,20000000,138697012,110,"Universal Pictures, Interscope Communications, The Badham-Cohen Group",John Badham,"Mel Gibson, Goldie Hawn, David Carradine, Bill Duke, Stephen Tobolowsky"
10837,tt0099472,DuckTales: The Movie - Treasure of the Lost Lamp,DuckTales: The Movie - Treasure of the Lost Lamp,1990-08-03,6.1546,6.705,951,"[12, 16, 10751, 35, 14]",en,20000000,18115724,74,Walt Disney Animation,Bob Hathcock,"Alan Young, Terence McGovern, Russi Taylor, Richard Libertini, Christopher Lloyd"
415227,,Emberrabló lányok,Emberrabló lányok,1990-01-01,5.6463,0.0,0,[],hu,0,0,0,,,"Róbert Gergely, Boris Williams, Péter Haumann, Ila Schütz, Géza Tordy"
9322,tt0100263,Nikita,Nikita,1990-02-21,6.7072,7.106,2217,"[28, 53]",fr,6000000,5018604,117,"Gaumont, Cecchi Gori Group Tiger Cinematografica, Les Films du Loup, Tiger Cinematografica",Luc Besson,"Anne Parillaud, Jean-Hugues Anglade, Tchéky Karyo, Jean Reno, Marc Duret"
11077,tt0100419,Problem Child,Problem Child,1990-07-27,6.6599,6.205,952,[35],en,10000000,72000000,81,"Universal Pictures, Imagine Entertainment",Dennis Dugan,"John Ritter, Jack Warden, Michael J. Oliver, Gilbert Gottfried, Amy Yasbeck"
1375,tt0100507,Rocky V,Rocky V,1990-11-16,7.643,5.775,3566,"[18, 28]",en,42000000,119946358,104,"United Artists, Metro-Goldwyn-Mayer, Chartoff Productions, Winkler Films",John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young, Richard Gant, Tommy Morrison"
11587,tt0099528,The Exorcist III,The Exorcist III,1990-08-17,7.5451,6.3,890,[27],en,11000000,39024251,110,Morgan Creek Entertainment,William Peter Blatty,"George C. Scott, Ed Flanders, Brad Dourif, Jason Miller, Nicol Williamson"
11092,tt0100404,Presumed Innocent,Presumed Innocent,1990-07-27,6.67,6.813,848,"[9648, 80, 53]",en,22000000,221303188,127,"Mirage Enterprises, Warner Bros. Pictures",Alan J. Pakula,"Harrison Ford, Brian Dennehy, Raúl Juliá, Bonnie Bedelia, Paul Winfield"
6723,tt0100514,The Rookie,The Rookie,1990-12-07,6.7171,5.885,637,"[28, 80, 18, 53]",en,10000000,21600000,121,"Malpaso Productions, Warner Bros. Pictures",Clint Eastwood,"Clint Eastwood, Charlie Sheen, Raúl Juliá, Sonia Braga, Tom Skerritt"
39101,tt0142233,Dragon Ball Z: The Tree of Might,ドラゴンボールZ 地球まるごと超決戦,1990-06-07,6.8253,6.551,640,"[28, 16, 878, 10770]",ja,0,8633074,61,Toei Animation,Daisuke Nishio,"Masako Nozawa, Mayumi Tanaka, Hirotaka Suzuoki, Toru Furuya, Toshio Furukawa"
39323,tt0142245,Dragon Ball Z: Bardock - The Father of Goku,ドラゴンボールZ たったひとりの最終決戦〜フリーザに挑んだZ戦士 孫悟空の父〜,1990-10-17,6.9532,7.607,792,"[16, 28, 878, 18, 14]",ja,0,0,48,"Bird Studios, Toei Animation, Toei Company, Fuji Television Network",Mitsuo Hashimoto,"Masako Nozawa, Kazuyuki Sogabe, Yuko Mita, Takeshi Watabe, Kozo Shioya"
9569,tt0099739,Hard to Kill,Hard to Kill,1990-02-09,6.7404,5.994,694,"[28, 18, 80, 53]",en,10000000,47410000,95,"Warner Bros. Pictures, Lee Rich Productions",Bruce Malmuth,"Steven Seagal, Kelly LeBrock, William Sadler, Frederick Coffin, Bonnie Burroughs"
12516,tt0100998,Dreams,夢,1990-05-11,6.558,7.8,593,"[14, 18]",ja,12000000,2970161,119,"Warner Bros. Pictures, Amblin Entertainment, Kurosawa Production, Akira Kurosawa USA",Akira Kurosawa,"Akira Terao, Mitsuko Baisho, Toshie Negishi, Mieko Harada, Mitsunori Isaki"
9556,tt0099365,Darkman,Darkman,1990-08-24,7.099,6.429,1576,"[28, 878, 53]",en,14000000,48878502,95,"Universal Pictures, Renaissance Pictures",Sam Raimi,"Liam Neeson, Frances McDormand, Colin Friels, Larry Drake, Nelson Mashita"
951,tt0099938,Kindergarten Cop,Kindergarten Cop,1990-12-21,6.1788,6.139,2898,[35],en,15000000,201957688,111,"Universal Pictures, Imagine Entertainment",Ivan Reitman,"Arnold Schwarzenegger, Penelope Ann Miller, Pamela Reed, Linda Hunt, Richard Tyson"
17466,tt0099385,Death Warrant,Death Warrant,1990-09-14,6.3821,6.273,653,"[28, 80, 53, 9648]",en,4000000,46700000,89,"MGM-Pathé Communications, Metro-Goldwyn-Mayer",Deran Sarafian,"Jean-Claude Van Damme, Robert Guillaume, Cynthia Gibb, Patrick Kilpatrick, Art LaFleur"
11595,tt0099044,Another 48 Hrs.,Another 48 Hrs.,1990-06-08,6.3257,6.001,1035,"[28, 35, 80]",en,38000000,153518974,95,"Paramount Pictures, Eddie Murphy Productions, Lawrence Gordon Productions",Walter Hill,"Eddie Murphy, Nick Nolte, Brion James, Kevin Tighe, Ed O'Ross"
11909,tt0099426,Bullet in the Head,喋血街頭,1990-08-17,6.3779,7.559,332,"[28, 80, 53, 10752]",cn,3500000,1092869,136,"Golden Princess Film Productions, John Woo Film Production",John Woo,"Tony Leung Chiu-wai, Jacky Cheung Hok-Yau, Waise Lee Chi-Hung, Simon Yam, Fennie Yuen Kit-Ying"
8592,tt0099422,Dick Tracy,Dick Tracy,1990-06-15,6.2727,6.164,1087,"[12, 35, 80]",en,47000000,103738726,105,"Touchstone Pictures, Mulholland Productions, Silver Screen Partners IV",Warren Beatty,"Warren Beatty, Al Pacino, Madonna, Dustin Hoffman, James Caan"
53932,tt0099484,The Ages of Lulu,Las edades de Lulú,1990-12-03,5.5363,6.393,308,[18],es,0,0,95,"Iberoamericana Films Internacional, Apricot",Bigas Luna,"Francesca Neri, Óscar Ladoire, María Barranco, Fernando Guillén Cuervo, Rosana Pastor"
91612,tt0097004,Caged Fury,Caged Fury,1990-03-01,7.2204,4.75,62,[28],en,0,0,95,"21st Century Film Corporation, Atlantic Pictures",Bill Milling,"Roxanna Michaels, Erik Estrada, Elena Sahagun, Richard Barathy, Gregory Scott Cummins"
1662,tt0100685,State of Grace,State of Grace,1990-09-14,5.7462,7.0,436,"[18, 80, 53]",en,7000000,1911542,135,Cinehaus,Phil Joanou,"Sean Penn, Ed Harris, Gary Oldman, Robin Wright, John Turturro"
9086,tt0100994,Young Guns II,Young Guns II,1990-08-01,6.1349,6.5,616,"[37, 12]",en,20000000,59000000,104,Morgan Creek Entertainment,Geoff Murphy,"Emilio Estevez, Kiefer Sutherland, Lou Diamond Phillips, Christian Slater, William L. Petersen"
16094,tt0099800,House Party,House Party,1990-01-20,4.7384,6.392,279,[35],en,2500000,26385628,104,New Line Cinema,Reginald Hudlin,"Christopher Reid, Christopher Martin, Paul Anthony, Bowlegged Lou, B-Fine"
