id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
1271014,tt34771509,Totems,Totems,1944-01-01,12.7477,0.0,0,[99],en,0,0,11,ONF | NFB,Laura Boulton,
996,tt0036775,Double Indemnity,Double Indemnity,1944-07-06,5.6622,8.086,2095,"[80, 53]",en,927262,2500000,107,Paramount Pictures,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall, Jean Heather"
615836,tt0036569,Ördöglovas,Ördöglovas,1944-03-15,5.0909,10.0,1,"[36, 12]",hu,0,0,0,,Dezső Ákos Hamza,"Alice Fényes, Manyi Kiss, Mária Sulyok, Gyula Benkő, Zoltán Makláry"
15947,tt0038166,The Three Caballeros,The Three Caballeros,1944-12-21,4.864,6.273,792,"[16, 10751, 10402]",en,0,6710000,71,Walt Disney Productions,"Norman Ferguson, Jack Kinney, Clyde Geronimi, Bill Roberts, Harold Young","Clarence Nash, Sterling Holloway, Joaquin Garay, Zé Carioca, Aurora Miranda"
13528,tt0036855,Gaslight,Gaslight,1944-05-04,4.7946,7.504,592,"[53, 18, 9648, 80]",en,2068000,0,114,Metro-Goldwyn-Mayer,George Cukor,"Charles Boyer, Ingrid Bergman, Joseph Cotten, May Whitty, Angela Lansbury"
212,tt0036613,Arsenic and Old Lace,Arsenic and Old Lace,1944-09-01,4.2341,7.618,1073,"[35, 80]",en,1120175,0,118,Warner Bros. Pictures,Frank Capra,"Cary Grant, Priscilla Lane, Josephine Hull, Jean Adair, Raymond Massey"
44475,tt0036591,Ali Baba and the Forty Thieves,Ali Baba and the Forty Thieves,1944-01-14,4.0793,6.2,39,"[28, 12, 14, 10749]",en,0,0,87,Universal Pictures,Arthur Lubin,"Maria Montez, Jon Hall, Turhan Bey, Andy Devine, Kurt Katch"
909,tt0037059,Meet Me in St. Louis,Meet Me in St. Louis,1944-11-28,4.0374,7.013,438,"[35, 18, 10749, 10751]",en,1707561,7566000,114,Metro-Goldwyn-Mayer,Vincente Minnelli,"Judy Garland, Margaret O'Brien, Mary Astor, Lucille Bremer, Leon Ames"
1939,tt0037008,Laura,Laura,1944-10-11,3.9274,7.634,943,"[18, 9648]",en,1020000,2000000,88,20th Century Fox,Otto Preminger,"Dana Andrews, Gene Tierney, Clifton Webb, Vincent Price, Judith Anderson"
84710,tt0036975,Jungle Woman,Jungle Woman,1944-06-01,3.667,5.167,21,"[18, 14, 27, 878]",en,105612,0,61,Universal Pictures,Reginald Le Borg,"Evelyn Ankers, J. Carrol Naish, Samuel S. Hinds, Lois Collier, Milburn Stone"
43307,tt0037094,Mr. Skeffington,Mr. Skeffington,1944-05-25,3.6335,6.811,74,"[18, 10749]",en,0,0,145,Warner Bros. Pictures,Vincent Sherman,"Bette Davis, Claude Rains, Walter Abel, George Coulouris, Richard Waring"
316343,tt0036884,Gröna hissen,Gröna hissen,1944-07-31,3.4456,5.0,5,[35],sv,0,0,97,Europa Film,Börje Larsson,"Max Hansen, Sickan Carlsson, Gaby Stenberg, Karl-Arne Holmsten, Håkan Westergren"
18770,tt0037366,Thirty Seconds Over Tokyo,Thirty Seconds Over Tokyo,1944-11-15,3.3135,6.704,71,"[10752, 18]",en,2900000,0,138,Metro-Goldwyn-Mayer,Mervyn LeRoy,"Van Johnson, Robert Walker, Spencer Tracy, Tim Murdock, Don DeFore"
15264,tt0037343,Tall in the Saddle,Tall in the Saddle,1944-09-29,3.2213,6.6,76,[37],en,0,0,87,RKO Radio Pictures,Edwin L. Marin,"John Wayne, Ella Raines, Ward Bond, George 'Gabby' Hayes, Audrey Long"
48140,tt0036659,Bon Voyage,Bon Voyage,1944-01-01,3.2175,5.572,76,"[10752, 18]",en,0,0,26,"Phoenix, Ministry of Information",Alfred Hitchcock,"John Blythe, Janique Joelle"
18050,tt0036983,The Keys of the Kingdom,The Keys of the Kingdom,1944-12-15,3.2064,7.1,55,[18],en,3000000,2400000,137,20th Century Fox,John M. Stahl,"Gregory Peck, Thomas Mitchell, Vincent Price, Rose Stradner, Roddy McDowall"
13321,tt0037017,Lifeboat,Lifeboat,1944-01-28,3.1976,7.359,499,"[10752, 18]",en,1590000,1000000,96,20th Century Fox,Alfred Hitchcock,"Tallulah Bankhead, William Bendix, Walter Slezak, Mary Anderson, John Hodiak"
43546,tt0036628,Bathing Beauty,Bathing Beauty,1944-06-27,3.184,5.9,33,"[10402, 35, 10749]",en,2361000,6892000,102,Metro-Goldwyn-Mayer,George Sidney,"Red Skelton, Esther Williams, Basil Rathbone, Bill Goodwin, Jean Porter"
265495,tt0035912,Twilight,Félicie Nanteuil,1944-12-20,3.1462,6.667,6,"[18, 10749]",fr,0,0,99,Les Films Impéria,Marc Allégret,"Claude Dauphin, Micheline Presle, Louis Jourdan, Jacques Louvigny, Marcelle Praince"
1834,tt0037101,"Murder, My Sweet","Murder, My Sweet",1944-12-14,3.129,7.22,268,"[80, 18, 9648, 53]",en,0,0,95,RKO Radio Pictures,Edward Dmytryk,"Dick Powell, Claire Trevor, Anne Shirley, Otto Kruger, Mike Mazurki"
670592,tt0235716,El rosario,El rosario,1944-06-30,3.1057,6.0,4,"[18, 10749]",es,0,0,96,Compañía Cinematográfica Mexicana,Juan José Ortega,"Andrea Palma, Tomás Perrín, Tana, Miguel Ángel Ferriz Sr., Octavio Martínez"
42401,tt0037280,Since You Went Away,Since You Went Away,1944-06-30,2.9817,6.607,56,[18],en,0,0,177,Selznick International Pictures,John Cromwell,"Claudette Colbert, Jennifer Jones, Joseph Cotten, Shirley Temple, Monty Woolley"
9797,tt0037824,"Ivan the Terrible, Part I",Иван Грозный,1944-11-11,2.8799,7.282,234,"[18, 36]",ru,0,0,95,"Mosfilm, TsOKS",Sergei Eisenstein,"Nikolai Cherkasov, Lyudmila Tselikovskaya, Serafima Birman, Mikhail Nazvanov, Mikhail Zharov"
823319,,Boldoggá teszlek,Boldoggá teszlek,1944-01-01,2.8667,0.0,0,[18],hu,0,0,0,,,"Emmi Buttykay, Miklós Hajmássy, Ernő Mihályi, Lajos Sugár, Ferenc Antók"
21622,tt0036723,Cover Girl,Cover Girl,1944-03-22,2.7948,6.4,99,"[10402, 35, 10749]",en,0,0,107,Columbia Pictures,Charles Vidor,"Rita Hayworth, Gene Kelly, Lee Bowman, Phil Silvers, Jinx Falkenburg"
22638,tt0036910,Henry V,The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France,1944-11-24,2.646,6.702,136,"[36, 18, 10752]",en,0,0,137,Two Cities Films,Laurence Olivier,"Laurence Olivier, Renée Asherson, Ralph Truman, Ernest Thesiger, Frederick Cooper"
17661,tt0036872,Going My Way,Going My Way,1944-01-01,2.6458,6.696,199,"[18, 35, 10402]",en,0,16300000,126,Paramount Pictures,Leo McCarey,"Bing Crosby, Barry Fitzgerald, Frank McHugh, James Brown, Gene Lockhart"
941997,,Keris Poesaka,Keris Poesaka,1944-03-10,2.6356,0.0,0,[18],id,0,0,0,Persafi,,
942009,,Gelombang,Gelombang,1944-05-25,2.584,0.0,0,[18],id,0,0,0,,,
1186526,,Waves,Gelombang,1944-01-01,2.5832,0.0,0,[],id,0,0,0,Persafi,,
482530,tt0037487,Young Eagles,Örnungar,1944-10-09,2.5716,8.0,1,[18],sv,0,0,102,Sveafilm,Ivar Johansson,"Alice Babs, Lasse Dahlquist, Sten Lindgren, Stina Ståhle, Curt Masreliez"
16373,tt0037415,The Uninvited,The Uninvited,1944-02-24,2.5159,6.919,235,"[9648, 27, 14, 10749]",en,0,0,99,Paramount Pictures,Lewis Allen,"Ray Milland, Ruth Hussey, Gail Russell, Donald Crisp, Alan Napier"
21451,tt0037075,Ministry of Fear,Ministry of Fear,1944-05-19,2.4574,6.89,205,"[80, 9648, 53]",en,0,0,86,Paramount Pictures,Fritz Lang,"Ray Milland, Marjorie Reynolds, Carl Esmond, Hillary Brooke, Percy Waram"
42879,tt0037077,The Miracle of Morgan's Creek,The Miracle of Morgan's Creek,1944-09-18,2.4465,6.836,125,"[35, 10749, 10752]",en,0,0,98,Paramount Pictures,Preston Sturges,"Eddie Bracken, Betty Hutton, Diana Lynn, William Demarest, Porter Hall"
29094,tt0037024,The Lodger,The Lodger,1944-01-19,2.4273,6.49,99,"[53, 9648, 27]",en,800000,0,84,20th Century Fox,John Brahm,"Merle Oberon, Laird Cregar, George Sanders, Cedric Hardwicke, Sara Allgood"
1452274,,The Rug,The Rug,1944-01-01,2.4084,0.0,0,[16],en,0,0,3,ONF | NFB,Philip Ragan,
33421,tt0037168,The Pearl of Death,The Pearl of Death,1944-08-01,2.3732,7.118,106,"[53, 9648, 80]",en,0,0,69,Universal Pictures,Roy William Neill,"Basil Rathbone, Nigel Bruce, Dennis Hoey, Evelyn Ankers, Miles Mander"
17136,tt0037469,The Woman in the Window,The Woman in the Window,1944-10-25,2.3633,7.371,396,"[80, 18, 53]",en,0,0,99,"International Pictures, Christie Corporation",Fritz Lang,"Edward G. Robinson, Joan Bennett, Raymond Massey, Edmund Breon, Dan Duryea"
733073,tt0122859,Blue pineapple,Abacaxi Azul,1944-02-14,2.343,8.0,1,"[35, 10402]",pt,0,0,90,"Cinédia, Sonofilmes",Wallace Downey,"Alvarenga, Ranchinho, Dercy Gonçalves, Sandraly, Duarte de Moraes"
253967,tt0178016,The Snowman,Der Schneemann,1944-02-03,2.3418,6.7,10,[16],de,0,0,13,"Fischerkoesen-Film-Produktion, Deutsche Wochenschau, UFA",Hans Fischerkoesen,
774871,tt0496526,Kádár Kata,Kádár Kata,1944-05-01,2.3282,7.0,1,[18],hu,0,0,11,Lippay Produkció,István Szőts,"Alice Szellay, Géza Halász, Margit Szilvássy"
37992,tt0036260,Phantom Lady,Phantom Lady,1944-01-28,2.3181,6.975,138,"[9648, 53, 80]",en,0,0,87,Universal Pictures,Robert Siodmak,"Franchot Tone, Ella Raines, Alan Curtis, Aurora Miranda, Thomas Gomez"
43306,tt0035959,A Guy Named Joe,A Guy Named Joe,1944-02-25,2.2827,6.7,55,"[18, 10749, 10752, 14]",en,2627000,5363000,120,Metro-Goldwyn-Mayer,Victor Fleming,"Spencer Tracy, Irene Dunne, Van Johnson, Ward Bond, James Gleason"
80941,tt0037408,Two Girls and a Sailor,Two Girls and a Sailor,1944-06-14,2.266,5.8,11,"[10402, 35, 10749]",en,0,0,124,Metro-Goldwyn-Mayer,Richard Thorpe,"June Allyson, Gloria DeHaven, Van Johnson, Tom Drake, Henry Stephenson"
85574,tt0037263,The Seventh Cross,The Seventh Cross,1944-07-24,2.248,6.8,43,"[18, 10752]",en,1300000,3600000,110,Metro-Goldwyn-Mayer,Fred Zinnemann,"Spencer Tracy, Signe Hasso, Hume Cronyn, Jessica Tandy, Agnes Moorehead"
