id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
82976,tt0066164,The Novices,Les Novices,1970-04-01,32.4608,4.8,13,"[35, 18]",fr,0,0,91,"Les Films La Boétie, Rizzoli Film",Guy Casaril,"Brigitte Bardot, Annie Girardot, Jacques Duby, Jean Carmet, Jess Hahn"
142237,tt0066300,Right On!,Right On!,1970-10-01,11.3836,7.333,3,"[36, 99, 10402]",en,0,0,78,Concept East N.Y.,Herbert Danska,"Gylan Kain, Felipe Luciano, David Nelson, Carlos Cuebas, Gene Ballard"
10112,tt0065421,The Aristocats,The Aristocats,1970-12-24,13.6173,7.303,5453,"[16, 35, 10751, 12]",en,4000000,191000000,78,Walt Disney Productions,Wolfgang Reitherman,"Phil Harris, Eva Gabor, Sterling Holloway, Scatman Crothers, Paul Winchell"
1574129,tt4579730,Clam Fairy,蚌仙,1970-06-25,7.5193,0.0,0,"[27, 14]",zh,0,0,81,,Guohua Li,"Chiang Pin, 秦梦, Chu Jing, 李凤, Luo Bin"
442567,tt0241043,Selection,A válogatás,1970-02-19,6.8055,8.0,2,[99],hu,0,0,41,,Gyula Gazdag,
1685,tt0065462,Beneath the Planet of the Apes,Beneath the Planet of the Apes,1970-04-23,8.1897,6.151,1522,"[12, 878, 9648]",en,3000000,18999718,95,"APJAC Productions, 20th Century Fox",Ted Post,"James Franciscus, Kim Hunter, Maurice Evans, Charlton Heston, Linda Harrison"
9394,tt0067355,They Call Me Trinity,Lo chiamavano Trinità...,1970-12-22,6.4675,7.552,1500,"[28, 35, 37]",it,0,0,115,West Film,Enzo Barboni,"Terence Hill, Bud Spencer, Steffen Zacharias, Dan Sturkie, Gisela Hahn"
4255,tt0065904,The Party at Kitty and Stud's,The Party at Kitty and Stud's,1970-02-10,6.0281,3.842,79,"[35, 18]",en,5000,0,67,"Stallion Releasing Inc., Bryanston Distributing",Morton M. Lewis,"Henrietta Holm, Sylvester Stallone, Nicholas Warren, Frank Micelli, Jodi Van Prang"
651,tt0066026,M*A*S*H,M*A*S*H,1970-02-18,7.382,6.943,1194,"[35, 18, 10752]",en,3500000,81600000,116,"Ingo Preminger Productions, 20th Century Fox, Aspen Productions",Robert Altman,"Donald Sutherland, Elliott Gould, Tom Skerritt, Sally Kellerman, Robert Duvall"
11165,tt0066473,Tora! Tora! Tora!,Tora! Tora! Tora!,1970-01-26,7.6761,7.184,623,"[10752, 36, 18]",en,25485000,37150000,144,"20th Century Fox, Toei Company, Williams-Fleischer Productions","Richard Fleischer, Kinji Fukasaku, Toshio Masuda","Martin Balsam, So Yamamura, Jason Robards, Joseph Cotten, Tatsuya Mihashi"
287604,tt0066072,Temperate Zone,Mérsékelt égöv,1970-08-18,5.2422,9.0,1,[18],hu,0,0,79,Mafilm,Zsolt Kézdi-Kovács,"Mari Törőcsik, András Kozák, Rudolf Somogyvári, Péter Benkő, Ferenc Kállai"
