id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
22596,tt0014429,Safety Last!,Safety Last!,1923-03-12,4.4544,7.728,603,"[35, 10749, 53]",en,121000,1500000,73,"Hal Roach Studios, Pathé Exchange","Fred C. Newmeyer, Sam Taylor","Harold Lloyd, Mildred Davis, Bill Strother, Noah Young, Westcott Clarke"
282197,tt0138564,The Secret Spring,Koenigsmark,1923-11-16,3.4266,8.0,2,"[9648, 36, 80]",en,0,0,180,Films Radia,Léonce Perret,"Huguette Duflos, Maurice Lehmann, Jaque Catelain, Georges Vaultier, Iván Petrovich"
580753,tt0214526,The Battle,La Bataille,1923-12-23,3.3597,10.0,1,[],fr,0,0,0,Le Film d'art,"Édouard-Émile Violet, Sessue Hayakawa","Sessue Hayakawa, Tsuru Aoki, Gina Palerme, Jean Dax, Félix Ford"
282212,tt0188981,Flanders under Philip II,Les Opprimés,1923-01-01,3.1808,7.0,1,[36],fr,0,0,115,Les Films Paramount,Henry Roussel,"Marcel Vibert, André Roanne, Raquel Meller, Albert Bras, Maurice Schutz"
701,tt0014341,Our Hospitality,Our Hospitality,1923-11-19,3.147,7.5,327,"[35, 10749, 53]",en,0,0,73,Joseph M. Schenck Productions,"John G. Blystone, Buster Keaton","Buster Keaton, Joe Roberts, Natalie Talmadge, Francis X. Bushman Jr., Craig Ward"
1309010,tt0013064,O Destino,O Destino,1923-02-14,2.8118,10.0,1,[18],pt,0,0,90,Invicta Film,Georges Pallu,"Palmira Bastos, António Pinheiro, António Sacramento, Flora Frizzo, Maria Clementina"
1039905,tt0014402,Refuge,Refuge,1923-03-12,2.7402,9.0,1,[18],en,0,0,60,B.P. Schulberg Productions,Victor Schertzinger,"Katherine MacDonald, Hugh Thompson, J. Gunnis Davis, J. Gordon Russell, Eric Mayne"
282270,tt0192084,Gossette,Gossette,1923-12-21,2.5689,6.0,2,[18],fr,0,0,297,"Société des Cinéromans, Films de France",Germaine Dulac,"Régine Bouet, Maurice Schutz, Jean-David Évremond, Monique Chrysès, Madeleine Guitty"
18987,tt0014142,The Hunchback of Notre Dame,The Hunchback of Notre Dame,1923-09-06,2.5113,6.549,143,"[10749, 18, 27]",en,1250000,0,113,Universal Pictures,Wallace Worsley,"Lon Chaney, Patsy Ruth Miller, Norman Kerry, Kate Lester, Winifred Bryson"
134049,tt12107804,The Nightmare of António Maria,O Pesadelo do António Maria,1923-01-25,2.4362,4.8,3,"[35, 16]",pt,0,0,2,Eden-Teatro,Joaquim Guerreiro,
