id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
85,tt0082971,Raiders of the Lost Ark,Raiders of the Lost Ark,1981-06-12,22.8273,7.928,13984,"[12, 28]",en,18000000,389925971,115,"Paramount Pictures, Lucasfilm Ltd.",Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies, Ronald Lacey"
37765,tt0082034,Ace,Asso,1981-04-09,15.4424,6.193,233,[35],it,0,0,90,Intercapital,"Castellano, Pipolo","Adriano Celentano, Edwige Fenech, Renato Salvatori, Sylva Koscina, Pippo Santonastaso"
21484,tt0082933,Possession,Possession,1981-05-27,11.2262,7.327,1429,[27],en,2400000,1200000,124,"Gaumont, Oliane Productions, Marianne Productions, Soma Film Produktion",Andrzej Żuławski,"Isabelle Adjani, Sam Neill, Margit Carstensen, Heinz Bennent, Johanna Hofer"
10948,tt0082406,The Fox and the Hound,The Fox and the Hound,1981-07-10,10.803,7.177,3589,"[12, 16, 18, 10751]",en,12000000,29800000,82,Walt Disney Productions,"Richard Rich, Art Stevens, Ted Berman","Mickey Rooney, Kurt Russell, Pearl Bailey, Jack Albertson, Sandy Duncan"
387,tt0082096,Das Boot,Das Boot,1981-09-17,9.8537,8.083,2632,"[18, 36, 10752]",de,14000000,85000000,150,"Radiant Film, Bavaria Film",Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch, Martin Semmelrogge"
8810,tt0082694,Mad Max 2,Mad Max 2,1981-12-24,11.2692,7.39,4311,"[28, 53, 878]",en,2000000,24600832,96,Kennedy Miller Productions,George Miller,"Mel Gibson, Bruce Spence, Michael Preston, Max Phipps, Vernon Wells"
699,tt0082398,For Your Eyes Only,For Your Eyes Only,1981-06-24,10.6503,6.55,2152,"[12, 28, 53]",en,28000000,195300000,128,EON Productions,John Glen,"Roger Moore, Carole Bouquet, Chaim Topol, Julian Glover, Lynn-Holly Johnson"
814,tt0082010,An American Werewolf in London,An American Werewolf in London,1981-08-21,9.9292,7.389,2795,"[35, 27, 14]",en,10000000,31973249,97,"Lyncanthrope Films, Polygram Pictures",John Landis,"David Naughton, Griffin Dunne, Jenny Agutter, John Woodvine, Don McKillop"
1103,tt0082340,Escape from New York,Escape from New York,1981-05-23,10.5193,7.044,3643,"[28, 53, 878]",en,6000000,50244700,99,"AVCO Embassy Pictures, Goldcrest Films International, International Film Investors, City Films, Taurus Film",John Carpenter,"Kurt Russell, Lee Van Cleef, Ernest Borgnine, Donald Pleasence, Isaac Hayes"
11281,tt0082495,Halloween II,Halloween II,1981-10-30,9.5547,6.593,2313,"[27, 53]",en,2500000,25533818,92,The De Laurentiis Company,Rick Rosenthal,"Jamie Lee Curtis, Donald Pleasence, Charles Cyphers, Jeffrey Kramer, Lance Guest"
10323,tt0082186,Clash of the Titans,Clash of the Titans,1981-06-12,8.4723,6.931,890,"[12, 14, 28]",en,12000000,41092328,118,"Peerford Ltd., Metro-Goldwyn-Mayer, Charles H. Schneer Productions, Titan Productions",Desmond Davis,"Harry Hamlin, Judi Bowker, Burgess Meredith, Maggie Smith, Ursula Andress"
11286,tt0082136,The Cannonball Run,The Cannonball Run,1981-06-19,10.5422,6.2,727,"[28, 35, 10751]",en,18000000,72179579,95,"Orange Sky Golden Harvest, Albert S. Ruddy Productions",Hal Needham,"Burt Reynolds, Roger Moore, Farrah Fawcett, Dom DeLuise, Dean Martin"
11644,tt0082085,Blow Out,Blow Out,1981-07-24,7.5511,7.4,1743,"[80, 9648, 53]",en,18000000,12000000,108,"Cinema 77, Geria Productions, George Litto Productions, Viscount Associates",Brian De Palma,"John Travolta, Nancy Allen, John Lithgow, Dennis Franz, Peter Boyden"
9725,tt0082418,Friday the 13th Part 2,Friday the 13th Part 2,1981-05-01,7.2457,6.194,1972,[27],en,1250000,21724205,86,"Georgetown Productions, Paramount Pictures",Steve Miner,"Amy Steel, Russell Todd, John Furey, Adrienne King, Kirsten Baker"
11527,tt0082348,Excalibur,Excalibur,1981-04-10,5.8565,6.959,1195,"[12, 14]",en,11000000,35000000,141,"Orion Pictures, Cinema 84",John Boorman,"Nigel Terry, Nicol Williamson, Helen Mirren, Nicholas Clay, Paul Geoffrey"
10890,tt0083131,Stripes,Stripes,1981-06-26,7.7397,6.567,1072,"[28, 35]",en,10000000,85297000,106,Columbia Pictures,Ivan Reitman,"Bill Murray, Harold Ramis, Warren Oates, P. J. Soles, Sean Young"
14412,tt0082089,Body Heat,Body Heat,1981-08-28,7.6617,6.99,715,"[53, 80]",en,9000000,24058838,113,The Ladd Company,Lawrence Kasdan,"William Hurt, Kathleen Turner, Richard Crenna, Ted Danson, J.A. Preston"
17360,tt0083284,Escape to Victory,Escape to Victory,1981-06-17,7.0909,6.883,1038,"[18, 10752]",en,10000000,27453418,116,"Victory Company, New Gold Entertainment, Lorimar Motion Pictures",John Huston,"Sylvester Stallone, Michael Caine, Max von Sydow, Pelé, Daniel Massey"
19114,tt0082329,Endless Love,Endless Love,1981-07-17,6.39,5.665,257,"[10749, 18]",en,9700000,32492674,116,Universal Pictures,Franco Zeffirelli,"Brooke Shields, Martin Hewitt, Shirley Knight, Don Murray, Richard Kiley"
197158,tt0261189,Porno!,Pornô!,1981-01-01,7.1205,5.141,85,"[18, 27, 14, 35]",pt,0,0,83,Dacar Produções Cinematográficas,"John Doo, David Cardoso, Luiz Castellini","David Cardoso, Patrícia Scalvi, Matilde Mastrangi, Zélia Diniz, Arthur Roveder"
36819,tt0081633,Time Bandits,Time Bandits,1981-07-13,5.449,6.633,1197,"[10751, 14, 878, 12, 35]",en,5000000,42365581,116,Handmade Films,Terry Gilliam,"Craig Warnock, David Rappaport, Kenny Baker, Mike Edmonds, Malcolm Dixon"
9538,tt0081455,Scanners,Scanners,1981-01-14,5.7756,6.712,1427,"[878, 27]",en,4100000,14225876,103,"Filmplan International, Canadian Film Development Corporation, Montreal Trust Company of Canada",David Cronenberg,"Stephen Lack, Jennifer O'Neill, Michael Ironside, Patrick McGoohan, Lawrence Dane"
9443,tt0082158,Chariots of Fire,Chariots of Fire,1981-05-15,6.0921,6.783,1071,"[18, 36]",en,5500000,58972904,123,"Enigma Productions, Allied Stars, 20th Century Fox",Hugh Hudson,"Ben Cross, Ian Charleson, Cheryl Campbell, Alice Krige, Nigel Havers"
215269,tt0083153,A Harum-Scarum Family,Szeleburdi család,1981-12-24,5.1462,6.8,5,"[10751, 35]",hu,0,0,73,Mafilm,György Palásthy,"Béla Ernyei, László Tóth, Andrea Drahota, János Szani, László Csákányi"
40084,tt0083710,Caligula and Messalina,Caligula et Messaline,1981-12-17,5.6115,4.511,45,"[10749, 36, 18]",fr,0,0,101,,"Bruno Mattei, Antonio Passalia","Gino Turini, Betty Roland, Vladimir Brajovic, Françoise Blanchard, Raul Cabrera"
584313,tt0288212,Uniform Virgin Pain,制服処女のいたみ,1981-09-25,5.1827,4.0,9,[18],ja,0,0,63,"Gendai eizō kikaku, Nikkatsu Corporation",Mamoru Watanabe,"Jun Miho, Mieko Aoki, Waka Oda, Kayoko Sugi, Kenji Shimamura"
585534,tt5185772,Morning Moon Is Cruel,モーニング・ムーンは粗雑に,1981-06-21,5.3826,4.3,3,[18],ja,0,0,98,AMUSE,Masanori Watanabe,"Mio Takaki, Junnosuke Saitô, Tsunehiko Watase, Bunjaku Han, Ikko Furuya"
11524,tt0083190,Thief,Thief,1981-03-27,5.3968,7.2,895,"[80, 53, 18]",en,5500000,11494812,123,"Mann/Caan Productions, United Artists",Michael Mann,"James Caan, Tuesday Weld, Robert Prosky, Willie Nelson, Jim Belushi"
42138,tt0081991,Agony: The Life and Death of Rasputin,Агония,1981-09-01,4.0249,6.714,49,"[36, 18]",ru,0,0,142,Mosfilm,Elem Klimov,"Aleksey Petrenko, Anatoliy Romashin, Leonid Bronevoy, Alisa Freyndlikh, Yuri Katin-Yartsev"
9589,tt0082176,Christiane F.,Christiane F. - Wir Kinder vom Bahnhof Zoo,1981-04-02,5.1215,7.335,1475,[18],de,4000000,0,131,"CLV-Filmproduktions, Solaris Film, Maran Film, Popular Filmproduktion",Uli Edel,"Natja Brunckhorst, Thomas Haustein, Jens Kuphal, Rainer Woelk, Jan Georg Effler"
163011,tt0131623,Lala the Magician,Tündér Lala,1981-12-24,4.5585,9.0,1,"[10751, 14]",hu,0,0,85,,Ilona Katkics,"Márton Mészáros, Béla Ernyei, Kornél Gelley, Sándor Horváth, Gyula Benkő"
74160,tt0252589,Kanlı Nigar,Kanlı Nigar,1981-12-01,4.1071,6.76,48,"[35, 18]",tr,0,0,81,,Memduh Ün,"Fatma Girik, Kemal Sunal, Sümer Tilmaç, Bahar Öztan, Dinçer Çekmez"
428352,tt0080977,Jóvenes viciosas,Jóvenes viciosas,1981-04-06,4.0465,3.333,3,[18],es,0,0,0,JACINTO SANTOS PARRAS P.C.,Manuel Iglesias,"Rosana Caskan, Tony Fuentes, Carmen Martínez Sierra, María Rey, Isidro Luengo"
42337,tt0082054,Beau Pere,Beau-père,1981-09-16,5.8329,6.442,155,"[18, 10749]",fr,0,0,123,"Sara Films, Antenne 2",Bertrand Blier,"Patrick Dewaere, Ariel Besse, Maurice Ronet, Geneviève Mnich, Maurice Risch"
288097,tt1690442,Tomorrow's Joe 2: The Movie,劇場版 あしたのジョー2,1981-07-04,4.8652,7.7,21,"[28, 16, 18]",ja,0,0,112,"SANKYO, Fuji Eiga Company",Osamu Dezaki,"Teruhiko Aoi, Jūkei Fujioka, Toshiyuki Hosokawa, Fumi Dan, Shiro Kishibe"
11827,tt0082509,Heavy Metal,Heavy Metal,1981-08-07,4.7758,6.539,825,"[16, 878, 12, 14, 10402]",en,9300000,20118654,90,"Canadian Film Development Corporation, Guardian Trust Company, Famous Players, Potterton Productions, Columbia Pictures","Gerald Potterton, John Bruno, John Halas, Julian Harris, Jimmy T. Murakami, Barrie Nelson, Paul Sabella, Jack Stokes, Pino Van Lamsweerde, Harold Whitaker","Rodger Bumpass, John Candy, Jackie Burroughs, Joe Flaherty, Don Francks"
21610,tt0082817,Nighthawks,Nighthawks,1981-03-17,5.4102,6.37,511,"[28, 80, 53]",en,5000000,19905359,99,"Martin Poll Productions, The Production Company, Universal Pictures",Bruce Malmuth,"Sylvester Stallone, Billy Dee Williams, Rutger Hauer, Lindsay Wagner, Persis Khambatta"
10540,tt0082869,Outland,Outland,1981-05-22,4.9222,6.421,728,"[878, 28, 53, 80, 37]",en,18000000,17374595,110,"The Ladd Company, Outland Productions",Peter Hyams,"Sean Connery, Peter Boyle, Frances Sternhagen, James B. Sikking, Kika Markham"
11298,tt0082533,The Howling,The Howling,1981-01-21,5.0092,6.604,928,[27],en,1000000,17985893,91,"AVCO Embassy Pictures, International Film Investors, Wescom Productions",Joe Dante,"Dee Wallace, Patrick Macnee, Dennis Dugan, Christopher Stone, Belinda Balaski"
332855,tt0082957,Airlift,Puente Aéreo,1981-12-21,4.0914,3.5,4,[35],es,0,0,94,"Impala, Pedro Masó PC",Pedro Masó,"Esperanza Roy, Iliana Ross, Amelia de la Torre, José María Caffarel, José Luis López Vázquez"
10627,tt0083169,Taps,Taps,1981-12-20,5.4143,6.7,310,[18],en,14000000,35900000,126,20th Century Fox,Harold Becker,"George C. Scott, Timothy Hutton, Ronny Cox, Sean Penn, Tom Cruise"
187826,tt0132891,Cute but Ordinary,Bonitinha mas Ordinária ou Otto Lara Rezende,1981-03-12,4.5953,4.983,29,"[18, 53]",pt,0,0,105,Sincrocine Produções Cinematográficas,Braz Chediak,"Lucélia Santos, José Wilker, Vera Fischer, Carlos Kroeber, Milton Moraes"
