id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
11224,tt0042332,Cinderella,Cinderella,1950-02-22,17.7107,7.053,7283,"[10751, 14, 16, 10749]",en,2900000,263600000,74,Walt Disney Productions,"Hamilton Luske, Clyde Geronimi, Wilfred Jackson","Ilene Woods, Eleanor Audley, Verna Felton, Claire Du Brey, Rhoda Williams"
599,tt0043014,Sunset Boulevard,Sunset Boulevard,1950-08-10,10.7447,8.273,3025,[18],en,1752000,5000000,110,Paramount Pictures,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark"
548,tt0042876,Rashomon,羅生門,1950-08-26,8.1033,8.035,2608,"[80, 18, 9648]",ja,250000,117668,88,Daiei Film,Akira Kurosawa,"Toshirō Mifune, Machiko Kyō, Takashi Shimura, Masayuki Mori, Minoru Chiaki"
705,tt0042192,All About Eve,All About Eve,1950-11-09,6.3383,8.074,1757,[18],en,1400000,8402553,139,20th Century Fox,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill"
6646,tt0043067,Treasure Island,Treasure Island,1950-07-19,6.1674,6.549,245,"[12, 10751]",en,0,4419657,96,Walt Disney Productions,Byron Haskin,"Bobby Driscoll, Robert Newton, Basil Sydney, Walter Fitzgerald, Denis O'Dea"
1978,tt0042994,Stage Fright,Stage Fright,1950-02-23,4.4248,6.817,377,[53],en,1450000,1900000,110,"Warner Bros. Pictures, Transatlantic Pictures",Alfred Hitchcock,"Jane Wyman, Marlene Dietrich, Michael Wilding, Richard Todd, Alastair Sim"
37292,tt0042286,Broken Arrow,Broken Arrow,1950-07-21,4.2381,6.701,226,"[37, 18, 10749]",en,0,3600000,93,20th Century Fox,Delmer Daves,"James Stewart, Jeff Chandler, Debra Paget, Basil Ruysdael, Will Geer"
800,tt0042804,The Young and the Damned,Los olvidados,1950-12-09,4.1753,8.058,559,"[18, 80]",es,0,0,82,Ultramar Films,Luis Buñuel,"Estela Inda, Miguel Inclán, Alfonso Mejía, Roberto Cobo, Alma Delia Fuentes"
16958,tt0042208,The Asphalt Jungle,The Asphalt Jungle,1950-05-12,4.0742,7.495,547,"[80, 18]",en,1232000,0,113,Metro-Goldwyn-Mayer,John Huston,"Sterling Hayden, Louis Calhern, Jean Hagen, James Whitmore, Sam Jaffe"
345885,tt0043021,Séraphin,Séraphin,1950-02-17,3.9226,8.0,3,[18],fr,0,0,101,,Paul Gury,"Hector Charland, Nicole Germain, Guy Provost, Suzanne Avon, Henri Poitras"
17057,tt0042593,In a Lonely Place,In a Lonely Place,1950-05-17,3.9056,7.628,681,"[53, 18, 10749, 9648]",en,0,1400000,93,"Santana Pictures Corporation, Columbia Pictures",Nicholas Ray,"Humphrey Bogart, Gloria Grahame, Frank Lovejoy, Carl Benton Reid, Art Smith"
11617,tt0042895,Rio Grande,Rio Grande,1950-11-15,3.8804,6.755,406,[37],en,0,0,105,Argosy Pictures,John Ford,"John Wayne, Maureen O'Hara, Ben Johnson, Claude Jarman Jr., Harry Carey Jr."
19119,tt0042788,Night and the City,Night and the City,1950-06-15,3.7398,7.48,296,"[18, 80]",en,0,0,95,20th Century Fox,Jules Dassin,"Richard Widmark, Francis L. Sullivan, Gene Tierney, Googie Withers, Stanislaus Zbyszko"
11787,tt0042546,Harvey,Harvey,1950-12-04,3.6595,7.685,701,"[35, 14]",en,0,0,104,Universal International Pictures,Henry Koster,"James Stewart, Josephine Hull, Peggy Dow, Charles Drake, Cecil Kellaway"
20758,tt0042451,Father of the Bride,Father of the Bride,1950-05-18,3.3776,6.99,244,"[35, 10749, 18]",en,0,0,92,Metro-Goldwyn-Mayer,Vincente Minnelli,"Spencer Tracy, Joan Bennett, Elizabeth Taylor, Don Taylor, Billie Burke"
265958,tt0042658,Königskinder,Königskinder,1950-01-20,3.3264,8.0,1,[35],de,0,0,95,,Helmut Käutner,"Jenny Jugo, Peter van Eyck, Friedrich Schoenfelder, Erika von Thellmann, Charles Regnier"
24481,tt0042276,Born Yesterday,Born Yesterday,1950-12-26,3.3102,7.267,189,"[35, 10749]",en,0,0,103,Columbia Pictures,George Cukor,"Judy Holliday, Broderick Crawford, William Holden, Howard St. John, Frank Otto"
952713,tt0900902,Batong Buhay,Batong Buhay,1950-07-05,3.277,0.0,0,"[28, 10749, 10752]",tl,0,0,0,"Lebran, Filipinas Productions",Ricardo Brillantes,"Leopoldo Salcedo, Paraluman, Jesús Caballero, Atang Dela Rama, Martin Marfil"
4558,tt0041719,Orpheus,Orphée,1950-09-29,3.2645,7.649,308,"[10749, 14, 18]",fr,0,0,95,"Films du Palais Royal, Andre Paulve Film",Jean Cocteau,"Jean Marais, François Périer, María Casares, Marie Déa, Henri Crémieux"
28304,tt0042490,The Furies,The Furies,1950-07-22,3.1015,7.141,85,[37],en,0,0,109,Hal Wallis Productions,Anthony Mann,"Barbara Stanwyck, Wendell Corey, Walter Huston, Judith Anderson, Gilbert Roland"
17409,tt0042531,The Gunfighter,The Gunfighter,1950-05-26,3.0884,7.4,216,[37],en,0,0,85,20th Century Fox,Henry King,"Gregory Peck, Helen Westcott, Millard Mitchell, Jean Parker, Karl Malden"
33839,tt0042327,Cheaper by the Dozen,Cheaper by the Dozen,1950-03-31,2.9382,6.4,89,"[35, 18, 10751]",en,0,0,85,20th Century Fox,Walter Lang,"Clifton Webb, Jeanne Crain, Myrna Loy, Betty Lynn, Edgar Buchanan"
284960,tt0042378,The Long March,Darah dan Do'a,1950-09-30,2.9043,8.0,1,"[10752, 18]",id,0,0,128,PERFINI,Usmar Ismail,"Del Juzar, Farida, Ella Bergen, Sutjipto, Aedy Moward"
14551,tt0043137,Winchester '73,Winchester '73,1950-07-06,2.8869,7.283,419,[37],en,0,2250000,92,Universal International Pictures,Anthony Mann,"James Stewart, Shelley Winters, Dan Duryea, Stephen McNally, Millard Mitchell"
477965,tt0369043,Die Verjüngungskur,Die Verjüngungskur,1950-07-13,2.8019,7.0,1,[35],de,0,0,0,,Harald Röbbeling,"Paul Löwinger, Olga von Togni, Joseph Egger, Lotte Lang, Cilli Löwinger"
293909,tt6721720,Zhao Yiman,赵一曼,1950-07-30,2.7606,6.0,1,[18],zh,0,0,100,长春电影制片厂,Meng Sha,"Lianxing Shi, Ying Zhang, Yan Wang, Ping Zhang, Ouyang Ruqiu"
43390,tt0043012,Summer Stock,Summer Stock,1950-08-31,2.7265,6.7,58,"[10402, 10749]",en,2025000,3357000,108,Metro-Goldwyn-Mayer,Charles Walters,"Judy Garland, Gene Kelly, Eddie Bracken, Gloria DeHaven, Marjorie Main"
4173,tt0041931,Stromboli,Stromboli (Terra di Dio),1950-02-15,2.7168,7.102,235,[18],it,900000,0,107,"RKO Radio Pictures, Berit Film",Roberto Rossellini,"Ingrid Bergman, Mario Vitale, Renzo Cesana, Mario Sponzo, Gaetano Famularo"
485852,tt0044097,Södrans Revy,Södrans Revy,1950-11-06,2.6944,10.0,1,[10402],sv,0,0,85,Sandrews,"Arthur Spjuth, Sven Paddock","Naima Wifstrand, Åke Söderblom, Douglas Håge, Sylva Åkesson, Egon Larsson"
18712,tt0041841,Sands of Iwo Jima,Sands of Iwo Jima,1950-01-01,2.6713,6.341,179,"[10752, 18]",en,1000000,7800000,100,Republic Pictures,Allan Dwan,"John Wayne, John Agar, Adele Mara, Forrest Tucker, Wally Cassell"
113921,tt0042372,Dallas,Dallas,1950-12-30,2.7199,6.446,37,[37],en,0,0,94,Warner Bros. Pictures,Stuart Heisler,"Gary Cooper, Ruth Roman, Steve Cochran, Raymond Massey, Barbara Payton"
87621,tt0042324,Chain Lightning,Chain Lightning,1950-02-18,2.6409,6.357,28,"[18, 28, 10752]",en,0,0,94,Warner Bros. Pictures,Stuart Heisler,"Humphrey Bogart, Eleanor Parker, Raymond Massey, Richard Whorf, James Brown"
