id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
185,tt0066921,A Clockwork Orange,A Clockwork Orange,1971-10-28,19.3038,8.169,14122,"[878, 80]",en,2200000,27033812,137,"Polaris Productions Limited, Warner Bros. Pictures, Hawk Films",Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Carl Duering, Michael Bates, Warren Clarke"
233651,tt0287685,Sex Rider: Wet Highway,セックス・ライダー　濡れたハイウェイ,1971-12-29,14.0798,5.0,14,[53],ja,0,0,68,Nikkatsu Corporation,Koretsugu Kurahara,"Mari Tanaka, Ken Yoshizawa, Yuki Seto, Kinji Takinami, Norihiko Umetani"
252,tt0067992,Willy Wonka & the Chocolate Factory,Willy Wonka & the Chocolate Factory,1971-06-29,11.3647,7.483,4074,"[10751, 14, 35]",en,3000000,2361799,100,Wolper Pictures,Mel Stuart,"Peter Ostrum, Gene Wilder, Jack Albertson, Diana Sowle, Roy Kinnear"
681,tt0066995,Diamonds Are Forever,Diamonds Are Forever,1971-12-14,9.1496,6.401,2441,"[28, 53]",en,7200000,116019547,120,"EON Productions, United Artists",Guy Hamilton,"Sean Connery, Jill St. John, Charles Gray, Lana Wood, Jimmy Dean"
984,tt0066999,Dirty Harry,Dirty Harry,1971-12-23,8.5642,7.453,2838,"[28, 80, 53]",en,4000000,35976000,102,Malpaso Productions,Don Siegel,"Clint Eastwood, Harry Guardino, Reni Santoni, John Vernon, Andrew Robinson"
12481,tt0067824,The Big Boss,唐山大兄,1971-10-23,6.9937,7.077,868,[28],zh,100000,0,99,Orange Sky Golden Harvest,Lo Wei,"Bruce Lee, Maria Yi, James Tien Chun, Marilyn Bautista, Han Ying-Chieh"
839,tt0067023,Duel,Duel,1971-12-25,6.9521,7.42,2137,"[28, 53, 10770]",en,450000,2544,74,Universal Television,Steven Spielberg,"Dennis Weaver, Jacqueline Scott, Eddie Firestone, Gene Dynarski, Lucille Benson"
31767,tt0066993,The Devils,The Devils,1971-07-16,6.4456,7.455,456,"[18, 36, 27]",en,2000000,11000000,112,Russo Productions,Ken Russell,"Vanessa Redgrave, Oliver Reed, Dudley Sutton, Max Adrian, Gemma Jones"
11829,tt0068154,Trinity Is Still My Name,...continuavano a chiamarlo Trinità,1971-10-21,6.3933,7.432,1033,"[35, 37]",it,0,2100000,118,West Film,Enzo Barboni,"Terence Hill, Bud Spencer, Harry Carey Jr., Yanti Somer, Jessica Dublin"
336,tt0067140,"Duck, You Sucker",Giù la testa,1971-10-29,6.3557,7.666,1222,[37],it,0,0,157,"Rafran Cinematografica, San Marco, Euro International Films",Sergio Leone,"Rod Steiger, James Coburn, Romolo Valli, Maria Monti, Rik Battaglia"
1687,tt0067065,Escape from the Planet of the Apes,Escape from the Planet of the Apes,1971-05-20,6.2202,6.397,1274,"[28, 878]",en,2500000,12348905,98,"APJAC Productions, 20th Century Fox",Don Taylor,"Roddy McDowall, Kim Hunter, Bradford Dillman, Natalie Trundy, Eric Braeden"
994,tt0067800,Straw Dogs,Straw Dogs,1971-11-25,5.7862,7.15,1119,"[53, 18, 80]",en,2200000,3251794,116,"ABC Pictures, Talent Associates, Amerbroco Films",Sam Peckinpah,"Dustin Hoffman, Susan George, Peter Vaughan, T. P. McKenna, Del Henney"
14811,tt0067093,Fiddler on the Roof,Fiddler on the Roof,1971-11-03,5.725,7.739,671,"[18, 10749]",en,9000000,83304330,181,"United Artists, Cartier Productions, The Mirisch Company",Norman Jewison,"Chaim Topol, Norma Crane, Leonard Frey, Molly Picon, Paul Mann"
58395,tt0498719,Sweet Toronto,Sweet Toronto,1971-11-22,5.5358,7.1,4,"[10402, 99]",en,0,0,51,"Pennebaker Associates Inc., The Douglas Corporation",D. A. Pennebaker,"Eric Clapton, Yoko Ono, Chuck Berry, Little Richard, John Lennon"
973215,tt0232576,Same Ællin,Same Ællin,1971-09-02,5.4787,7.0,1,[99],no,0,0,91,Per Høst Film,Titus Vibe-Müller,
343,tt0067185,Harold and Maude,Harold and Maude,1971-12-20,5.4264,7.587,1243,"[35, 18, 10749]",en,1200000,0,92,"Paramount Pictures, Mildred Lewis and Colin Higgins Productions",Hal Ashby,"Ruth Gordon, Bud Cort, Vivian Pickles, Cyril Cusack, Charles Tyner"
1051,tt0067116,The French Connection,The French Connection,1971-10-09,5.3564,7.492,2205,"[28, 80, 53]",en,1800000,41200000,104,"D'Antoni Productions, Schine-Moore Productions, 20th Century Fox",William Friedkin,"Gene Hackman, Roy Scheider, Fernando Rey, Tony Lo Bianco, Marcel Bozzuffi"
11842,tt0067770,Red Sun,Soleil Rouge,1971-09-15,5.1697,6.8,328,[37],fr,0,0,114,"Les Films Corona, Oceania Film, Producciones Balcázar",Terence Young,"Charles Bronson, Ursula Andress, Toshirō Mifune, Alain Delon, Capucine"
11951,tt0067927,Vanishing Point,Vanishing Point,1971-01-15,5.0876,7.085,543,"[28, 80, 18, 53]",en,1300000,72266306,105,"Cupid Productions, 20th Century Fox",Richard C. Sarafian,"Barry Newman, Cleavon Little, Dean Jagger, Victoria Medlin, Gilda Texter"
8416,tt0065571,The Conformist,Il conformista,1971-01-29,5.0777,7.646,784,[18],it,750000,233493,108,"Marianne Productions, Maran Film, Mars Film Produzione",Bernardo Bertolucci,"Jean-Louis Trintignant, Stefania Sandrelli, Gastone Moschin, Dominique Sanda, Enzo Tarascio"
