id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
389,tt0050083,12 Angry Men,12 Angry Men,1957-04-10,34.6967,8.571,10368,[18],en,397751,4360000,97,Orion-Nova Productions,Sidney Lumet,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman"
490,tt0050976,The Seventh Seal,Det sjunde inseglet,1957-02-16,9.9732,8.142,3452,"[14, 18]",sv,150000,311212,96,SF Studios,Ingmar Bergman,"Gunnar Björnstrand, Bengt Ekerot, Nils Poppe, Max von Sydow, Bibi Andersson"
975,tt0050825,Paths of Glory,Paths of Glory,1957-10-25,8.3814,8.25,3373,"[10752, 18]",en,935000,1200000,88,"Bryna Productions, United Artists, Harris-Kubrick Productions",Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready, Wayne Morris"
37257,tt0051201,Witness for the Prosecution,Witness for the Prosecution,1957-12-17,8.3355,8.2,1765,"[18, 9648, 80]",en,3000000,9000000,116,Edward Small Productions,Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester, John Williams"
826,tt0050212,The Bridge on the River Kwai,The Bridge on the River Kwai,1957-10-11,6.9364,7.8,2445,"[18, 36, 10752]",en,2800000,44908000,162,Horizon Pictures,David Lean,"William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa, James Donald"
852257,tt1606327,Saat Lakh,سات لاکھ,1957-10-11,5.9211,0.0,0,"[18, 10749]",ur,0,0,130,,Jaffer Malik,"Santosh Kumar, Sabiha Khanum, Neelo, Nayyar Sultana, Talish"
684268,tt0143191,Operación Antartida,Operación Antartida,1957-07-25,5.794,10.0,2,[18],es,0,0,87,Mar del Plata Films,Bernard-Roland,"Duilio Marzio, Luis Dávila, Nino Persello, Ana María Cassan, Dora Zular"
614,tt0050986,Wild Strawberries,Smultronstället,1957-08-28,5.7834,8.074,1857,[18],sv,0,0,91,SF Studios,Ingmar Bergman,"Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand, Jullan Kindahl"
14168,tt0050086,3:10 to Yuma,3:10 to Yuma,1957-08-07,5.6039,7.281,436,"[37, 18, 53]",en,0,1850000,92,Columbia Pictures,Delmer Daves,"Glenn Ford, Van Heflin, Felicia Farr, Leora Dana, Henry Jones"
500739,tt0050360,Eruption,Erupția,1957-04-01,5.6013,6.6,5,[18],ro,0,0,93,Studioul Cinematografic București,Liviu Ciulei,"Eva Christian, Lica Gheorghiu, Ștefan Ciubotărașu, Dorin Dron, Graziela Albini"
13320,tt0050419,Funny Face,Funny Face,1957-02-13,5.5482,6.978,751,"[10402, 35, 10749]",en,0,0,103,Paramount Pictures,Stanley Donen,"Audrey Hepburn, Fred Astaire, Kay Thompson, Michel Auclair, Robert Flemyng"
19426,tt0050783,Nights of Cabiria,Le notti di Cabiria,1957-10-03,5.2509,8.0,880,"[18, 35]",it,0,752045,110,"DDL Cinematografica, Les Films Marceau",Federico Fellini,"Giulietta Masina, François Périer, Franca Marzi, Amedeo Nazzari, Aldo Silvani"
3777,tt0050613,Throne of Blood,蜘蛛巣城,1957-01-15,5.1999,7.9,1016,"[18, 36]",ja,0,13422,108,"TOHO, Kurosawa Production",Akira Kurosawa,"Toshirō Mifune, Isuzu Yamada, Takashi Shimura, Akira Kubo, Hiroshi Tachikawa"
22201,tt0050468,Gunfight at the O.K. Corral,Gunfight at the O.K. Corral,1957-05-30,5.0032,7.005,399,[37],en,0,11750000,123,"Wallis-Hazen Inc., Hal Wallis Productions, Paramount Pictures",John Sturges,"Burt Lancaster, Kirk Douglas, Jo Van Fleet, Rhonda Fleming, John Ireland"
366962,tt0151733,Nehéz kesztyük,Nehéz kesztyük,1957-01-01,4.9083,10.0,1,[18],hu,0,0,90,Budapest Filmstúdió,Dezsõ Varasdy,"László Papp, Magda Kun, János Rajz, Erzsi Orsolya, Károly Kovács"
80255,tt0050379,A Farewell to Arms,A Farewell to Arms,1957-12-14,4.2054,6.0,59,"[18, 10749, 10752]",en,4100000,20000000,152,Selznick International Pictures,Charles Vidor,"Rock Hudson, Jennifer Jones, Vittorio De Sica, Luigi Barzini, Georges Brehat"
38360,tt0050634,The Cranes Are Flying,Летят журавли,1957-10-12,4.1837,7.914,472,"[18, 10749, 10752]",ru,0,0,97,Mosfilm,Mikhail Kalatozov,"Tatyana Samoylova, Aleksey Batalov, Vasili Merkuryev, Aleksandr Shvorin, Svetlana Kharitonova"
355856,tt0050276,Spiral Staircase,Csigalépcsö,1957-10-17,4.1399,8.0,1,[18],hu,0,0,96,Hunnia Filmstúdió,Frigyes Bán,"Rudolf Somogyvári, Éva Vass, Irén Sütő, Sándor Tompa, Ferenc Kállai"
